camera_scene,cell,executions,lidar_scene,maximum,mean,metric,minimum,model_id,mps_enabled,pair,range,std
scene-0770,AA,3,scene-0770,0.40481120801441667,0.4019744391889188,R,0.3971855426393517,yolov3,False,3dssd+yolov3,0.007625665375064983,0.004170826667631476
scene-0770,AA,3,scene-0770,0.025536091349825187,0.021079723568168104,R,0.01868718678007359,3dssd,False,3dssd+yolov3,0.006848904569751596,0.00386282567932895
scene-0398,AB,3,scene-0770,0.49489242766828356,0.49394266528148073,R,0.49320635319137374,yolov3,False,3dssd+yolov3,0.0016860744769098268,0.0008630657896657235
scene-0398,AB,3,scene-0770,0.02719288184033862,0.024996833337762855,R,0.022502688891894756,3dssd,False,3dssd+yolov3,0.004690192948443864,0.002359263310222843
scene-0398,BB,3,scene-0398,0.4596848656072668,0.44851972824190217,R,0.43242847325884975,yolov3,False,3dssd+yolov3,0.027256392348417036,0.014280325873388944
scene-0398,BB,3,scene-0398,0.0298507804536775,0.024946998401094166,R,0.022428994254515455,3dssd,False,3dssd+yolov3,0.007421786199162044,0.0042473144172645
scene-0770,BA,3,scene-0398,0.41658932713659064,0.4125539439983963,R,0.40503812582282844,yolov3,False,3dssd+yolov3,0.011551201313762194,0.006514801146988168
scene-0770,BA,3,scene-0398,0.023547798642829642,0.019613710719918815,R,0.017222992578837776,3dssd,False,3dssd+yolov3,0.006324806063991866,0.0034332616634005714
scene-0245,AA,3,scene-0245,0.46538917611609165,0.45647910569618705,R,0.43908358268208875,dino,False,centerpoint+dino,0.026305593434002905,0.01506646079127393
scene-0245,AA,3,scene-0245,0.10579351298945898,0.09182180898574129,R,0.08084344760543426,centerpoint,False,centerpoint+dino,0.024950065384024722,0.012741527212725425
scene-0184,AB,3,scene-0245,0.4891443958484536,0.4430959969643582,R,0.37428894969975424,dino,False,centerpoint+dino,0.11485544614869936,0.06071581700500222
scene-0184,AB,3,scene-0245,0.1924732473484749,0.11054105288358058,R,0.057763270377264475,centerpoint,False,centerpoint+dino,0.13470997697121043,0.07193176820003715
scene-0184,BB,3,scene-0184,0.8119497216780639,0.8039332275734549,R,0.788117200286339,dino,False,centerpoint+dino,0.02383252139172487,0.013697510991801463
scene-0184,BB,3,scene-0184,0.06794489343193948,0.06233206698933646,R,0.054854842031392216,centerpoint,False,centerpoint+dino,0.01309005140054726,0.006741242302813868
scene-0245,BA,3,scene-0184,0.8302307885513271,0.7966807746546741,R,0.769075574300236,dino,False,centerpoint+dino,0.06115521425109116,0.031007993543004205
scene-0245,BA,3,scene-0184,0.10202621806013351,0.06600993346266541,R,0.03746414404268343,centerpoint,False,centerpoint+dino,0.06456207401745008,0.0329229642348059
scene-0770,AA,3,scene-0770,0.8883947552147833,0.4234436815106511,R,0.186894036271579,yolov3,False,centerpoint+yolov3,0.7015007189432043,0.40268005173228794
scene-0770,AA,3,scene-0770,0.09019267700512705,0.07462808080331162,R,0.06167754731086038,centerpoint,False,centerpoint+yolov3,0.028515129694266672,0.014436174987044819
scene-0245,AB,3,scene-0770,0.8492205060216357,0.7526469177745527,R,0.6443470010025382,yolov3,False,centerpoint+yolov3,0.2048735050190975,0.10293890591126617
scene-0245,AB,3,scene-0770,0.09318880061801267,0.08336422403853876,R,0.07735681352179814,centerpoint,False,centerpoint+yolov3,0.015831987096214528,0.0085785209340852
