camera_scene,lidar_scene,metric,model_id,off_executions,off_maximum,off_mean,off_minimum,off_range,off_std,on_executions,on_maximum,on_mean,on_minimum,on_minus_off_mean,on_range,on_std,pair
scene-0770,scene-0770,R,yolov3,3,0.41028469710357196,0.40735905797973193,0.4034579763596395,0.0068267207439324795,0.0035163397271212034,3,0.41298866945974955,0.355027368903486,0.309837654191596,-0.05233168907624591,0.10315101526815357,0.05274815675877084,3dssd+yolov3
scene-0770,scene-0770,P50_ms,yolov3,3,30.115129000000003,30.057203500000004,29.9741995,0.14092950000000215,0.07373587569324773,3,9.4506085,9.423924166666668,9.398209999999999,-20.633279333333334,0.05239850000000068,0.026212718632056268,3dssd+yolov3
scene-0770,scene-0770,P99_ms,yolov3,3,42.47090558,42.30127449333334,42.21369928,0.2572063,0.14693074882846682,3,13.353602729999999,12.770582189999999,12.310129339999998,-29.53069230333334,1.0434733900000008,0.5324249316884734,3dssd+yolov3
scene-0770,scene-0770,throughput_hz,yolov3,3,12.051471627537218,12.051471627537218,12.051471627537218,0.0,0.0,3,12.051471627537218,12.036642433932442,12.006984046722895,-0.014829193604775526,0.044487580814323024,0.025684916758744628,3dssd+yolov3
scene-0770,scene-0770,unique_source_count,yolov3,3,232.0,232.0,232.0,0.0,0.0,3,232.0,232.0,232.0,0.0,0.0,0.0,3dssd+yolov3
scene-0770,scene-0770,R,3dssd,3,0.034897316443219716,0.028118086591362796,0.023049261471760618,0.011848054971459097,0.006106407692970452,3,0.037792563312858504,0.035771542998618,0.034292365821762795,0.007653456407255201,0.0035001974910957093,0.0018119164186895709,3dssd+yolov3
scene-0770,scene-0770,P50_ms,3dssd,3,45.307574,45.21346966666667,45.107483,0.20009100000000046,0.10057332874243233,3,38.931744,38.923962499999995,38.913367,-6.289507166666674,0.018377000000000976,0.009506181107574807,3dssd+yolov3
scene-0770,scene-0770,P99_ms,3dssd,3,46.80359542,46.48493819666667,46.14717717,0.6564182500000015,0.32862584531593847,3,40.4030744,40.31633846666667,40.26166776,-6.168599729999997,0.14140663999999958,0.07596113170504395,3dssd+yolov3
scene-0770,scene-0770,throughput_hz,3dssd,3,19.851415061855413,19.799868540807214,19.748282968756424,0.10313209309898852,0.05156605763949976,3,19.85162649400711,19.802467482508163,19.74795211038765,0.002598941700949098,0.10367438361945958,0.05204433114230548,3dssd+yolov3
scene-0770,scene-0770,unique_source_count,3dssd,3,383.0,382.0,381.0,2.0,1.0,3,384.0,382.6666666666667,381.0,0.6666666666666856,3.0,1.5275252316519465,3dssd+yolov3
