A,B,contrast,effect,isolated_B_minus_A,metric,model_id,mps_enabled,pair,paired_minus_isolated_effect,repetition,value
scene-0770,scene-0398,BA-AA,own_input,0.09220700000000193,P50_ms,3dssd,False,3dssd+yolov3,0.13890899999999817,1,0.2311160000000001
scene-0770,scene-0398,BB-AB,own_input,0.09220700000000193,P50_ms,3dssd,False,3dssd+yolov3,0.05542499999999961,1,0.14763200000000154
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,P50_ms,3dssd,False,3dssd+yolov3,,1,-0.08348399999999856
scene-0770,scene-0398,AB-AA,co_runner,,P99_ms,3dssd,False,3dssd+yolov3,,1,0.19231484000000165
scene-0770,scene-0398,BB-BA,co_runner,,P99_ms,3dssd,False,3dssd+yolov3,,1,-0.24152970000000096
scene-0770,scene-0398,BA-AA,own_input,-0.16726249999999965,P99_ms,3dssd,False,3dssd+yolov3,0.6230707400000028,1,0.4558082400000032
scene-0770,scene-0398,BB-AB,own_input,-0.16726249999999965,P99_ms,3dssd,False,3dssd+yolov3,0.18922620000000023,1,0.021963700000000586
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,P99_ms,3dssd,False,3dssd+yolov3,,1,-0.4338445400000026
scene-0770,scene-0398,AB-AA,co_runner,,P99_minus_P50_ms,3dssd,False,3dssd+yolov3,,1,0.2954498400000034
scene-0770,scene-0398,BB-BA,co_runner,,P99_minus_P50_ms,3dssd,False,3dssd+yolov3,,1,-0.054910700000000645
scene-0770,scene-0398,BA-AA,own_input,-0.2594695000000016,P99_minus_P50_ms,3dssd,False,3dssd+yolov3,0.48416174000000467,1,0.2246922400000031
scene-0770,scene-0398,BB-AB,own_input,-0.2594695000000016,P99_minus_P50_ms,3dssd,False,3dssd+yolov3,0.13380120000000062,1,-0.12566830000000095
scene-0770,scene-0398,BB-BA-AB+AA,interaction,,P99_minus_P50_ms,3dssd,False,3dssd+yolov3,,1,-0.35036054000000405
scene-0770,scene-0398,AB-AA,co_runner,,throughput_hz,3dssd,False,3dssd+yolov3,,1,-0.05881330577323496
scene-0770,scene-0398,BB-BA,co_runner,,throughput_hz,3dssd,False,3dssd+yolov3,,1,-0.007655089218154387
