P50_ms,P99_ms,calls_max,calls_min,count,covariance_share,execution_id,first_difference_pearson,kernel_name,mean_ms,module,mps_enabled,pearson,scene_id,std_ms,total_latency_endpoint_gap_ms
0.15376099999999998,0.168434,2,2,226,0.0047948204562105025,i2-i30-0770,0.6166598179498491,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x4_nn_align4>(T1::Params),0.1547448407079646,backbone,False,0.4981007302093187,scene-0770,0.004697639364930501,0.004496
0.480981,0.5218700000000001,6,6,226,0.014522636796112142,i2-i30-0770,0.6281764500542515,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_16x5_nn_align4>(T1::Params),0.483074110619469,backbone,False,0.54819958151932,scene-0770,0.01292799806488381,0.010840000000000016
0.1484975,0.161378,1,1,226,0.004606669111489283,i2-i30-0770,0.6224555243931889,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x128_32x3_nn_align1>(T1::Params),0.14927225663716812,backbone,False,0.5216414489861381,scene-0770,0.004309624468330293,0.0029840000000000144
0.21489799999999998,0.263699,1,1,226,-0.00028115562485321236,i2-i30-0770,-0.0494741600262007,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_128x64_16x6_nn_align4>(T1::Params),0.2169265663716814,backbone,False,-0.015088850148604564,scene-0770,0.009093166287413341,-0.007705000000000017
0.32109150000000003,0.35353199999999996,2,2,226,0.0013715676004827594,i2-i30-0770,0.11335479872586879,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4>(T1::Params),0.32375705309734515,backbone,False,0.07221828738451369,scene-0770,0.009268181594464856,0.0070007499999999445
0.1393455,0.15154600000000001,1,1,226,0.0043283364693687135,i2-i30-0770,0.6245799442767113,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x3_nn_align4>(T1::Params),0.1400921150442478,backbone,False,0.5364545845152423,scene-0770,0.003937427361324,0.002823499999999979
0.266995,0.287283,3,3,226,0.006976015501931925,i2-i30-0770,0.6315750854317946,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_32x4_nn_align1>(T1::Params),0.2684111504424779,backbone,False,0.5230374328794617,scene-0770,0.006508773630420506,0.008535999999999988
0.6494470000000001,0.694144,8,8,226,0.025039888044145836,i2-i30-0770,0.5790028047523371,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4>(T1::Params),0.6526184646017699,backbone,False,0.4676230000241321,scene-0770,0.026131300312942845,0.0006250000000000977
0.8690175,0.9466439999999999,5,5,226,0.03670243264450783,i2-i30-0770,0.5756635302293582,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_128x64_32x3_nhwc_align4>(T1::Params),0.871091314159292,backbone,False,0.5000218940092002,scene-0770,0.035820391783154035,0.013312250000000025
0.52135,0.57324675,3,3,226,0.029760242434537613,i2-i30-0770,0.6650906643815814,void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4>(T1::Params),0.5253771150442478,backbone,False,0.558524818299979,scene-0770,0.026002702721932044,0.20879525
0.1994915,0.20549775000000003,12,12,226,0.0024068285078905818,i2-i30-0770,0.013842648708437023,ampere_sgemm_32x128_tn,0.19774280973451328,bbox_head,False,0.18702471103799143,scene-0770,0.006280159250143414,-0.0027777499999999955
0.079872,0.08195274999999999,12,12,226,0.0008163449377251972,i2-i30-0770,0.0228208195421678,ampere_sgemm_32x32_sliced1x4_tn,0.0791298761061947,bbox_head,False,0.17479114157939454,scene-0770,0.002279180850104304,-0.0007847500000000007
0.001696,0.001824,1,1,226,2.224532684814685e-05,i2-i30-0770,0.11081973766747906,"void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",0.0017018053097345135,bbox_head,False,0.19092011778811516,scene-0770,5.686062114762242e-05,2.168404344971009e-19
