P50_ms,P99_ms,component,covariance_share,execution_id,first_difference_pearson,mean_ms,mps_enabled,pearson,scene_id,std_ms,total_latency_endpoint_gap_ms
0.0,0.000576,api_gap:cuKernelGetFunction,3.932456552890301e-05,i2-i30-0770,0.03420232977307521,7.11150442477876e-05,False,0.09677799540169449,scene-0770,0.0001982950225506452,-0.000256
0.0,0.0016635,api_gap:cuLaunchKernel,9.300665934521467e-05,i2-i30-0770,0.23568613384092488,0.0003001283185840708,False,0.09964172642101729,scene-0770,0.0004555093583777826,0.000248
0.0021869999999999997,0.0034655,api_gap:cudaEventCreateWithFlags,0.00010032595534552444,i2-i30-0770,0.11426365879164987,0.0022812654867256634,False,0.14708872121315697,scene-0770,0.00033285756654355034,-0.0007262499999999997
0.00238,0.00309825,api_gap:cudaEventRecord,3.394610380093735e-05,i2-i30-0770,0.12653808117569298,0.002500699115044248,False,0.06294320319868194,scene-0770,0.0002631877046431369,0.00011774999999999937
0.0018135,0.0024502499999999997,api_gap:cudaEventSynchronize,7.10463439511695e-05,i2-i30-0770,0.1568527937978516,0.0018535265486725665,False,0.17712270638099822,scene-0770,0.00019574559456279778,-1.6750000000000055e-05
1.3577325,1.57919425,api_gap:cudaLaunchKernel,0.04909302921372719,i2-i30-0770,0.4610608534334756,1.3664718053097344,False,0.5279183225505654,scene-0770,0.045381369439950595,0.008197249999999823
0.0,0.0015275,api_gap:cudaLaunchKernelExC,1.8720913012779384e-05,i2-i30-0770,0.09922524822224225,0.00015335398230088495,False,0.02335854816154991,scene-0770,0.0003911160889691359,-0.00015299999999999998
0.0,0.0,api_gap:cudaMalloc,-0.0012788975857582667,i2-i30-0770,0.019849299012817477,0.0004936637168141593,False,-0.08428257619365864,scene-0770,0.0074049557522123865,0.0
0.42226050000000004,0.53589725,api_gap:cudaMemcpyAsync,0.017121767503360804,i2-i30-0770,0.019123219196504157,0.4282578982300885,False,0.21698325385759867,scene-0770,0.0385076379587506,0.15314925000000001
0.095849,0.1123905,api_gap:cudaMemsetAsync,0.004445231790515743,i2-i30-0770,0.4445764056967785,0.09638353097345131,False,0.4331345189574013,scene-0770,0.005008366675221117,-0.00020275000000000154
0.0,0.0,api_gap:cudaStreamIsCapturing,0.0,i2-i30-0770,,0.0,False,,scene-0770,0.0,0.0
0.5438375,0.8545972500000001,api_gap:cudaStreamSynchronize,0.07064100650465434,i2-i30-0770,0.5497595890494036,0.552629982300885,False,0.46598388505177213,scene-0770,0.0739793451479057,0.45639925000000003
0.32866,0.42074199999999995,copy_in_gap_ms,0.0026252076231439085,i2-i30-0770,-0.06792871002182992,0.3315965309734513,False,0.06185515612931272,scene-0770,0.020711533295974964,0.07368249999999998
5.9096695,6.830984,gap_outside_cuda_api_ms,0.32555489840038876,i2-i30-0770,0.5417666732285121,5.953061530973451,False,0.5914335193343236,scene-0770,0.26862275686814724,0.20694175000000126
1.4691809999999998,1.8694534999999999,gap_outside_module_ms,0.12770677612660183,i2-i30-0770,0.709374191843503,1.4930135707964602,False,0.6906992559565654,scene-0770,0.09022968796432138,0.29710725000000093
8.017245500000001,9.092082,gap_without_copy_ms,0.4633081987447291,i2-i30-0770,0.6652365422329422,8.07286196902655,False,0.6893265942162443,scene-0770,0.32799668453032943,0.7500160000000005
0.10462550000000001,0.1518535,host_module_gap:backbone,0.01096625227762946,i2-i30-0770,0.12503143272754227,0.10405706637168141,False,0.2893752688643674,scene-0770,0.018493594157155527,0.026293250000000004
1.23407,1.45841625,host_module_gap:bbox_head,0.0485381659970834,i2-i30-0770,0.4693085211970597,1.2482365309734513,False,0.42227425372012317,scene-0770,0.05609359333049467,0.01183449999999997
