count,execution_id,first_difference_pearson,max,mean,metric,min,mps_enabled,pearson,scene_id,timing
142,i2-i20-0184,0.06853030986730572,282227.0,272274.61267605633,voxel_input_points,260345.0,False,0.5733520010667801,scene-0184,latency_ms
142,i2-i20-0184,0.10123645301234908,282227.0,272274.61267605633,voxel_input_points,260345.0,False,0.6925445964017446,scene-0184,module:data_preprocessor
142,i2-i20-0184,0.23082238471720826,282227.0,272274.61267605633,voxel_input_points,260345.0,False,0.8545846630668675,scene-0184,kernel:point_to_voxelidx_kernel
142,i2-i20-0184,-0.013103091603624033,282227.0,272274.61267605633,voxel_input_points,260345.0,False,0.0747022149203443,scene-0184,kernel:determin_voxel_num
142,i2-i20-0184,0.12957440083735255,19878.0,18276.669014084506,occupied_voxels,15604.0,False,0.3520184891668195,scene-0184,latency_ms
142,i2-i20-0184,0.11922789762765688,19878.0,18276.669014084506,occupied_voxels,15604.0,False,0.2633956414376747,scene-0184,module:data_preprocessor
142,i2-i20-0184,0.1319224040644055,19878.0,18276.669014084506,occupied_voxels,15604.0,False,0.006073097953767391,scene-0184,kernel:point_to_voxelidx_kernel
142,i2-i20-0184,0.070188636174656,19878.0,18276.669014084506,occupied_voxels,15604.0,False,0.5838084782013041,scene-0184,kernel:determin_voxel_num
142,i2-i20-0184,0.15069911096362212,31663677499.0,29167483389.633804,point_scan_iterations,25436476787.0,False,0.7572173520901275,scene-0184,latency_ms
142,i2-i20-0184,0.15555274210329542,31663677499.0,29167483389.633804,point_scan_iterations,25436476787.0,False,0.7613939862591225,scene-0184,module:data_preprocessor
142,i2-i20-0184,0.21778633939280523,31663677499.0,29167483389.633804,point_scan_iterations,25436476787.0,False,0.6335539515545192,scene-0184,kernel:point_to_voxelidx_kernel
142,i2-i20-0184,0.06359388063152521,31663677499.0,29167483389.633804,point_scan_iterations,25436476787.0,False,0.6149509011734321,scene-0184,kernel:determin_voxel_num
188,i2-i20-0245,0.04910937194699984,34784.0,34723.744680851065,raw_points,34656.0,False,0.17077467310278238,scene-0245,latency_ms
188,i2-i20-0245,-0.023185519036676837,34784.0,34723.744680851065,raw_points,34656.0,False,0.16693110142984907,scene-0245,module:data_preprocessor
188,i2-i20-0245,-0.02974322112098291,34784.0,34723.744680851065,raw_points,34656.0,False,0.1404677389917924,scene-0245,kernel:point_to_voxelidx_kernel
188,i2-i20-0245,0.012549249641056425,34784.0,34723.744680851065,raw_points,34656.0,False,0.19723918888644149,scene-0245,kernel:determin_voxel_num
188,i2-i20-0245,0.2813471473037138,228539.0,198487.085106383,voxel_input_points,175320.0,False,0.93840866780483,scene-0245,latency_ms
188,i2-i20-0245,0.3171507626497517,228539.0,198487.085106383,voxel_input_points,175320.0,False,0.946275389460629,scene-0245,module:data_preprocessor
188,i2-i20-0245,0.29751903737010454,228539.0,198487.085106383,voxel_input_points,175320.0,False,0.9343974828857264,scene-0245,kernel:point_to_voxelidx_kernel
188,i2-i20-0245,0.09800516877577675,228539.0,198487.085106383,voxel_input_points,175320.0,False,0.8272623117221259,scene-0245,kernel:determin_voxel_num
188,i2-i20-0245,0.21116885698193597,15182.0,11424.404255319148,occupied_voxels,9689.0,False,0.8813561430343656,scene-0245,latency_ms
