common_frames,common_gap_change_ms,full_gap_change_ms,scene_id,voxelization_delta_pearson
105,-3.5400331600000072,-0.36315853999992953,scene-0770,0.9692998080889601
94,-2.604929850000005,-2.0777094500000146,scene-0398,0.8669959083658042
45,-2.996814200000003,-3.0417988000000236,scene-0184,0.9215056083469427
103,-1.7688946199999975,-1.4189467100000002,scene-0245,0.7502404315126017
