component,count,covariance_share,execution_id,first_difference_pearson,mean,mps_enabled,pearson,scene_id,std,total_latency_endpoint_gap,units
"kernel:void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)2, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",147,-1.1377346024106854e-05,i2-i20-0770,-0.055468187572359925,0.010209850340136054,False,-0.07998079778122202,scene-0770,0.0002410005886390614,2.5599999999986744e-06,ms
"kernel:void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)3, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",147,-1.4648964728120004e-06,i2-i20-0770,0.006977672206845508,0.009910537414965987,False,-0.04503776322171334,scene-0770,5.51052514391751e-05,-8.073999999999755e-05,ms
"kernel:void at::native::<unnamed>::CatArrayBatchedCopy_aligned16_contig<at::native::<unnamed>::OpaqueType<(unsigned int)4>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",147,-1.2183519427061147e-05,i2-i20-0770,-0.07131610746758275,0.3031840952380952,False,-0.0018174778753440918,scene-0770,0.011357075051809173,0.00102236,ms
"kernel:void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)4>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,2.1161669597962997e-05,i2-i20-0770,0.1721855433485187,0.10819206802721087,False,0.10788459256252192,scene-0770,0.00033231762242622444,0.00036608000000000473,ms
"kernel:void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)4, void at::native::_cuda_scatter_gather_internal_kernel<(bool)0, at::native::OpaqueType<(int)8>>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,-3.6754840447664176e-07,i2-i20-0770,0.05445738398280098,0.012332993197278912,False,-0.011553119364214296,scene-0770,5.3898682552858334e-05,-0.00011583999999999726,ms
"kernel:void at::native::batch_norm_transform_input_channels_last_kernel<float, float, float, (int)4>(const T1 *, const T1 *, const T2 *, const T2 *, const T3 *, const T3 *, T1 *, int, int, bool)",147,3.2639314989438115e-05,i2-i20-0770,-0.08771867600245739,0.07850836054421768,False,0.14488743027485962,scene-0770,0.0003816569664972643,0.0005358599999999852,ms
"kernel:void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,-9.209556879671668e-07,i2-i20-0770,-0.007058979028966842,0.0011130544217687077,False,-0.0307795122279232,scene-0770,5.069205177442537e-05,-3.199999999999991e-05,ms
"kernel:void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,-2.4525894616173543e-06,i2-i20-0770,-0.03165309543320363,0.001960074829931973,False,-0.08097301649963076,scene-0770,5.131536328746797e-05,3.199999999999991e-05,ms
"kernel:void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,2.310476136525756e-06,i2-i20-0770,0.11853911215736547,0.0015105510204081632,False,0.08897622478592722,scene-0770,4.399368904547012e-05,0.0,ms
"kernel:void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",147,4.0414394576144554e-05,i2-i20-0770,0.10660175304933482,0.11923572789115648,False,0.17416499625570087,scene-0770,0.0003931317059226842,-8.14600000000193e-05,ms
