Input,Model,Layer,Start Timestamp,End Timestamp,Elapsed Time,GPU Turnaround Time,GPU Computation Time,GPU Wait Time,Internal Memcpy Size,External Memcpy Size
e74dc6b980184925b8163e29ab917fe2,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,lidar_decode,20988253486,20988453183,0.1996969999999999,0.0,0.0,0.0,0,0
e74dc6b980184925b8163e29ab917fe2,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,e2e,20988468763,21027415496,38.946733,30.874629,19.845757,11.028872,47912336,594358
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,lidar_encode,20991079311,21038361752,47.282441,0.0,0.0,0.0,0,0
e506f542630747588dde9e96dcc3f8fa,faster-rcnn_r50_fpn_1x_coco,image_decode,20991179855,20995790035,4.61018,0.0,0.0,0.0,0,0
e506f542630747588dde9e96dcc3f8fa,faster-rcnn_r50_fpn_1x_coco,e2e,20995821650,21077026030,81.20438,65.211947,28.635695,36.576252,13571056,2999623
e74dc6b980184925b8163e29ab917fe2,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,data_preprocessor._call_impl,20996107990,21002841140,6.733149999999999,6.391549,5.826232,0.5653169999999994,6786912,514628
e74dc6b980184925b8163e29ab917fe2,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_voxel_encoder._call_impl,21002888795,21009858819,6.970024,6.927073999999999,6.620575,0.3064989999999996,0,0
e74dc6b980184925b8163e29ab917fe2,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_middle_encoder._call_impl,21009904112,21010363305,0.4591929999999999,0.411811,0.2140169999999999,0.197794,40960000,20
e74dc6b980184925b8163e29ab917fe2,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_backbone._call_impl,21010378226,21012540388,2.162162,2.071123,2.006803,0.0643199999999999,0,0
e506f542630747588dde9e96dcc3f8fa,faster-rcnn_r50_fpn_1x_coco,data_preprocessor._call_impl,21011585187,21027567535,15.982348,15.727189,0.362244,15.364945,12386304,2999274
e74dc6b980184925b8163e29ab917fe2,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_neck._call_impl,21012561392,21013522485,0.961093,0.802952,0.7941199999999999,0.008832,0,0
e74dc6b980184925b8163e29ab917fe2,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_bbox_head.predict,21013546876,21027364230,13.817354,13.584737,4.382794,9.201943,165424,79710
e506f542630747588dde9e96dcc3f8fa,faster-rcnn_r50_fpn_1x_coco,backbone._call_impl,21027617662,21043298717,15.681055,15.569907,15.452083,0.1178239999999988,0,0
0c54d13080a44cf2893e6a395bcc5f5a,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,lidar_encode,21038917775,21077576681,38.658906,0.0,0.0,0.0,0,0
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,lidar_decode,21039233344,21039489680,0.256336,0.0,0.0,0.0,0,0
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,e2e,21039518094,21086645144,47.12705,34.161572,20.394274,13.767298,47883848,599518
e506f542630747588dde9e96dcc3f8fa,faster-rcnn_r50_fpn_1x_coco,neck._call_impl,21043338127,21048477614,5.139487,5.03496,5.0172,0.0177599999999999,0,0
e506f542630747588dde9e96dcc3f8fa,faster-rcnn_r50_fpn_1x_coco,rpn_head.predict,21048515355,21070719398,22.204043,22.121106,5.037839,17.083267,1159568,281
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,data_preprocessor._call_impl,21052083385,21059473578,7.390193,7.105315,6.172825,0.9324900000000004,6759456,514516
9a65d44338fd490f938a6a7e0226dace,pointpillars_hv_secfpn_sbn-all_8xb4-2x_nus-3d,pts_voxel_encoder._call_impl,21059518228,21067131244,7.613016,7.52004,7.189381,0.3306589999999998,0,0
