model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
3dssd+mask-rcnn,mask-rcnn,image,7.5 mm/h,r7p5,7.5,68.973,49.569,118.542,173.527,49.569,96.772,370,95.175,91.828,99.571
3dssd+mask-rcnn,3dssd,lidar,15 mm/h,r15,15.0,38.936,47.711,86.646,88.284,47.711,72.428,501,74.267,62.980,80.694
3dssd+mask-rcnn,mask-rcnn,image,15 mm/h,r15,15.0,69.311,48.654,117.965,152.198,48.654,97.166,368,95.893,92.423,101.134
3dssd+mask-rcnn,3dssd,lidar,25 mm/h,r25,25.0,46.788,39.864,86.652,88.099,39.864,72.265,500,73.926,62.772,80.369
3dssd+mask-rcnn,mask-rcnn,image,25 mm/h,r25,25.0,67.044,48.178,115.222,176.277,48.178,96.403,368,95.633,92.457,100.675
3dssd+mask-rcnn,3dssd,lidar,50 mm/h,r50,50.0,37.834,48.081,85.915,87.754,48.081,72.428,501,74.636,62.511,80.679
3dssd+mask-rcnn,mask-rcnn,image,50 mm/h,r50,50.0,69.428,47.346,116.774,153.852,47.346,96.290,370,95.745,91.909,101.189
3dssd+vit-upernet,3dssd,lidar,Clear,clear,0.0,70.809,40.005,110.814,111.663,40.005,73.602,492,77.400,75.532,78.389
3dssd+vit-upernet,vit-upernet,image,Clear,clear,0.0,37.493,35.946,73.439,73.676,35.946,59.096,455,63.645,48.116,68.974
3dssd+vit-upernet,3dssd,lidar,7.5 mm/h,r7p5,7.5,68.821,39.885,108.706,110.031,39.885,73.697,491,77.473,75.882,78.470
3dssd+vit-upernet,vit-upernet,image,7.5 mm/h,r7p5,7.5,37.895,35.775,73.669,74.031,35.775,59.404,457,63.714,48.778,69.151
3dssd+vit-upernet,3dssd,lidar,15 mm/h,r15,15.0,68.696,39.843,108.538,110.655,39.843,72.956,495,76.988,74.419,78.213
3dssd+vit-upernet,vit-upernet,image,15 mm/h,r15,15.0,37.535,36.005,73.540,73.778,36.005,58.204,457,61.646,47.843,68.833
3dssd+vit-upernet,3dssd,lidar,25 mm/h,r25,25.0,69.506,39.990,109.496,111.910,39.990,73.513,493,77.499,75.347,78.494
3dssd+vit-upernet,vit-upernet,image,25 mm/h,r25,25.0,38.260,35.483,73.744,73.994,35.483,59.192,457,63.965,48.874,68.998
3dssd+vit-upernet,3dssd,lidar,50 mm/h,r50,50.0,69.767,39.755,109.522,111.774,39.755,74.708,487,78.159,76.550,79.040
3dssd+vit-upernet,vit-upernet,image,50 mm/h,r50,50.0,38.758,35.915,74.673,74.925,35.915,61.399,457,64.962,53.159,69.699
