adverse_median_ms,adverse_p0_p99_range_ms,adverse_width_ms,clear_baseline_id,clear_median_ms,clear_p0_p99_range_ms,clear_width_ms,condition_id,median_change_ms,module,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
7.971983,4.10906868,4.10906868,clear,8.353199499999999,4.01411272,4.01411272,r15,-0.38121649999999896,backbone,off,observed_amplification,3dssd+deeplabv3plus,2.3655529035567335,3dssd,0.09495596000000006,1.0236555290355673
8.244259,4.105665519999999,4.105665519999999,clear,8.353199499999999,4.01411272,4.01411272,r25,-0.10894049999999922,backbone,off,observed_amplification,3dssd+deeplabv3plus,2.2807730222383693,3dssd,0.09155279999999877,1.0228077302223837
8.275629,4.156955220000003,4.156955220000003,clear,8.353199499999999,4.01411272,4.01411272,r50,-0.07757049999999843,backbone,off,observed_amplification,3dssd+deeplabv3plus,3.558507445202075,3dssd,0.1428425000000031,1.0355850744520207
8.057071,4.08817076,4.08817076,clear,8.353199499999999,4.01411272,4.01411272,r7p5,-0.29612849999999824,backbone,off,observed_amplification,3dssd+deeplabv3plus,1.8449417135451007,3dssd,0.07405803999999971,1.018449417135451
72.517854,64.51185080000002,64.51185080000002,clear,71.9115885,66.54556560999998,66.54556560999998,r15,0.6062655000000063,bbox_head,off,observed_damping,3dssd+deeplabv3plus,-3.0561237121626506,3dssd,-2.033714809999964,0.9694387628783735
72.111074,63.06129674,63.06129674,clear,71.9115885,66.54556560999998,66.54556560999998,r25,0.19948550000000864,bbox_head,off,observed_damping,3dssd+deeplabv3plus,-5.23591442654503,3dssd,-3.4842688699999798,0.9476408557345497
72.983875,65.10213482,65.10213482,clear,71.9115885,66.54556560999998,66.54556560999998,r50,1.0722865000000041,bbox_head,off,observed_damping,3dssd+deeplabv3plus,-2.1690863647615743,3dssd,-1.4434307899999794,0.9783091363523843
72.290174,61.92930048,61.92930048,clear,71.9115885,66.54556560999998,66.54556560999998,r7p5,0.3785854999999998,bbox_head,off,observed_damping,3dssd+deeplabv3plus,-6.936998863386745,3dssd,-4.616265129999981,0.9306300113661325
0.262392,0.11757812000000009,0.11757812000000009,clear,0.2676365,0.11749255,0.11749255,r15,-0.005244499999999985,data_preprocessor,off,observed_amplification,3dssd+deeplabv3plus,0.07283014965637769,3dssd,8.55700000000903e-05,1.0007283014965638
0.269264,0.14555267999999988,0.14555267999999988,clear,0.2676365,0.11749255,0.11749255,r25,0.001627500000000004,data_preprocessor,off,observed_amplification,3dssd+deeplabv3plus,23.88247595273052,3dssd,0.028060129999999878,1.2388247595273052
0.266668,0.1383451800000001,0.1383451800000001,clear,0.2676365,0.11749255,0.11749255,r50,-0.0009684999999999833,data_preprocessor,off,observed_amplification,3dssd+deeplabv3plus,17.748044450477995,3dssd,0.020852630000000094,1.17748044450478
0.262435,0.11860988000000006,0.11860988000000006,clear,0.2676365,0.11749255,0.11749255,r7p5,-0.0052015000000000255,data_preprocessor,off,observed_amplification,3dssd+deeplabv3plus,0.9509794450797582,3dssd,0.0011173300000000552,1.0095097944507976
4.913129,1.92809076,1.92809076,clear,4.855239,2.490781759999999,2.490781759999999,r15,0.05788999999999955,backbone,off,observed_damping,3dssd+deeplabv3plus,-22.59093948078371,deeplabv3plus,-0.5626909999999992,0.7740906051921629
4.963869,2.360545919999999,2.360545919999999,clear,4.855239,2.490781759999999,2.490781759999999,r25,0.10862999999999978,backbone,off,observed_damping,3dssd+deeplabv3plus,-5.2287134140568075,deeplabv3plus,-0.1302358400000001,0.9477128658594319
5.137525500000001,2.1078134399999993,2.1078134399999993,clear,4.855239,2.490781759999999,2.490781759999999,r50,0.28228650000000055,backbone,off,observed_damping,3dssd+deeplabv3plus,-15.37542654881172,deeplabv3plus,-0.3829683199999998,0.8462457345118828
5.258392,2.6818228799999995,2.6818228799999995,clear,4.855239,2.490781759999999,2.490781759999999,r7p5,0.40315299999999965,backbone,off,observed_amplification,3dssd+deeplabv3plus,7.669926087783807,deeplabv3plus,0.1910411200000004,1.076699260877838
0.617445,2.3776417199999997,2.3776417199999997,clear,0.593971,2.3254298799999997,2.3254298799999997,r15,0.023473999999999995,data_preprocessor,off,observed_amplification,3dssd+deeplabv3plus,2.2452554019818383,deeplabv3plus,0.05221184000000001,1.0224525540198184
0.595839,2.4769562,2.4769562,clear,0.593971,2.3254298799999997,2.3254298799999997,r25,0.0018679999999999808,data_preprocessor,off,observed_amplification,3dssd+deeplabv3plus,6.5160562914931,deeplabv3plus,0.15152632000000033,1.065160562914931
0.59641,2.213690609999999,2.213690609999999,clear,0.593971,2.3254298799999997,2.3254298799999997,r50,0.002438999999999969,data_preprocessor,off,observed_damping,3dssd+deeplabv3plus,-4.805101670061996,deeplabv3plus,-0.11173927000000061,0.95194898329938
0.610373,2.40976128,2.40976128,clear,0.593971,2.3254298799999997,2.3254298799999997,r7p5,0.016402000000000028,data_preprocessor,off,observed_amplification,3dssd+deeplabv3plus,3.6264864713960066,deeplabv3plus,0.08433140000000039,1.03626486471396
1.421013,0.6089250799999999,0.6089250799999999,clear,1.415235,0.6415154399999998,0.6415154399999998,r15,0.005778000000000061,decode_head,off,observed_damping,3dssd+deeplabv3plus,-5.080214437239416,deeplabv3plus,-0.03259035999999993,0.9491978556276058
1.415523,0.591459,0.591459,clear,1.415235,0.6415154399999998,0.6415154399999998,r25,0.000288000000000066,decode_head,off,observed_damping,3dssd+deeplabv3plus,-7.802842594092496,deeplabv3plus,-0.05005643999999987,0.921971574059075
1.4512369999999999,0.5791396199999992,0.5791396199999992,clear,1.415235,0.6415154399999998,0.6415154399999998,r50,0.03600199999999987,decode_head,off,observed_damping,3dssd+deeplabv3plus,-9.723198556218794,deeplabv3plus,-0.06237582000000064,0.9027680144378121
1.472036,0.8341789199999996,0.8341789199999996,clear,1.415235,0.6415154399999998,0.6415154399999998,r7p5,0.05680099999999988,decode_head,off,observed_amplification,3dssd+deeplabv3plus,30.03255541285177,deeplabv3plus,0.19266347999999978,1.3003255541285177
7.744567,3.872707600000001,3.872707600000001,clear,7.627169,3.8915253200000013,3.8915253200000013,r15,0.11739799999999967,backbone,off,observed_damping,3dssd+detr,-0.483556406617458,3dssd,-0.01881772000000037,0.9951644359338254
7.667778,3.965107660000001,3.965107660000001,clear,7.627169,3.8915253200000013,3.8915253200000013,r25,0.040608999999999895,backbone,off,observed_amplification,3dssd+detr,1.8908354423863738,3dssd,0.07358233999999975,1.0189083544238637
7.5847014999999995,3.8902300100000007,3.8902300100000007,clear,7.627169,3.8915253200000013,3.8915253200000013,r50,-0.04246750000000077,backbone,off,observed_damping,3dssd+detr,-0.03328540593950935,3dssd,-0.0012953100000006046,0.9996671459406049
7.686325999999999,3.7696258200000017,3.7696258200000017,clear,7.627169,3.8915253200000013,3.8915253200000013,r7p5,0.059156999999999016,backbone,off,observed_damping,3dssd+detr,-3.132434970254794,3dssd,-0.1218994999999996,0.9686756502974521
55.608686,46.88191476,46.88191476,clear,55.608575,51.02306928,51.02306928,r15,0.00011099999999686361,bbox_head,off,observed_damping,3dssd+detr,-8.11623953328744,3dssd,-4.141154520000001,0.9188376046671256
55.894669,45.94161944,45.94161944,clear,55.608575,51.02306928,51.02306928,r25,0.2860939999999985,bbox_head,off,observed_damping,3dssd+detr,-9.959122239617656,3dssd,-5.081449840000005,0.9004087776038234
56.056829,45.56902057,45.56902057,clear,55.608575,51.02306928,51.02306928,r50,0.4482539999999986,bbox_head,off,observed_damping,3dssd+detr,-10.689377936222822,3dssd,-5.454048710000002,0.8931062206377718
55.499561,44.214161530000005,44.214161530000005,clear,55.608575,51.02306928,51.02306928,r7p5,-0.10901400000000194,bbox_head,off,observed_damping,3dssd+detr,-13.344763155337947,3dssd,-6.808907749999996,0.8665523684466205
0.264781,0.10631602000000004,0.10631602000000004,clear,0.252982,0.13362904000000014,0.13362904000000014,r15,0.011799000000000004,data_preprocessor,off,observed_damping,3dssd+detr,-20.4394344223382,3dssd,-0.027313020000000104,0.795605655776618
0.255178,0.12229726000000005,0.12229726000000005,clear,0.252982,0.13362904000000014,0.13362904000000014,r25,0.0021960000000000313,data_preprocessor,off,observed_damping,3dssd+detr,-8.480027993915161,3dssd,-0.011331780000000097,0.9151997200608484
0.255571,0.12812632999999982,0.12812632999999982,clear,0.252982,0.13362904000000014,0.13362904000000014,r50,0.002589000000000008,data_preprocessor,off,observed_damping,3dssd+detr,-4.117899821775506,3dssd,-0.005502710000000327,0.9588210017822449
0.25906799999999996,0.13006789,0.13006789,clear,0.252982,0.13362904000000014,0.13362904000000014,r7p5,0.00608599999999998,data_preprocessor,off,observed_damping,3dssd+detr,-2.6649521690795264,3dssd,-0.0035611500000001517,0.9733504783092047
3.7605665000000004,2.4890083999999977,2.4890083999999977,clear,3.8374870000000003,2.186210399999999,2.186210399999999,r15,-0.07692049999999995,backbone,off,observed_amplification,3dssd+detr,13.850359507941178,detr,0.3027979999999988,1.1385035950794118
3.753067,1.4715226799999996,1.4715226799999996,clear,3.8374870000000003,2.186210399999999,2.186210399999999,r25,-0.08442000000000016,backbone,off,observed_damping,3dssd+detr,-32.69071083002806,detr,-0.7146877199999992,0.6730928916997194
3.6943355,2.2178140999999982,2.2178140999999982,clear,3.8374870000000003,2.186210399999999,2.186210399999999,r50,-0.1431515000000001,backbone,off,observed_amplification,3dssd+detr,1.4455927938134217,detr,0.031603699999999346,1.0144559279381342
3.91599,2.23948856,2.23948856,clear,3.8374870000000003,2.186210399999999,2.186210399999999,r7p5,0.07850299999999955,backbone,off,observed_amplification,3dssd+detr,2.4370097223945564,detr,0.05327816000000096,1.0243700972239456
28.8785005,33.91771369999999,33.91771369999999,clear,28.597403,35.3317787,35.3317787,r15,0.28109750000000133,bbox_head,off,observed_damping,3dssd+detr,-4.0022468498026935,detr,-1.414065000000008,0.9599775315019731
28.870908,33.20078524,33.20078524,clear,28.597403,35.3317787,35.3317787,r25,0.2735050000000001,bbox_head,off,observed_damping,3dssd+detr,-6.03137894102116,detr,-2.130993459999999,0.9396862105897884
28.952021000000002,34.2444729,34.2444729,clear,28.597403,35.3317787,35.3317787,r50,0.3546180000000021,bbox_head,off,observed_damping,3dssd+detr,-3.0774159694371805,detr,-1.0873058000000029,0.9692258403056282
28.948709,34.84715712,34.84715712,clear,28.597403,35.3317787,35.3317787,r7p5,0.351306000000001,bbox_head,off,observed_damping,3dssd+detr,-1.37163085989781,detr,-0.48462158000000244,0.9862836914010219
1.9915915,2.5491627499999994,2.5491627499999994,clear,1.9263485,2.60848035,2.60848035,r15,0.06524299999999994,data_preprocessor,off,observed_damping,3dssd+detr,-2.2740290146329944,detr,-0.059317600000000414,0.97725970985367
1.873019,2.46356116,2.46356116,clear,1.9263485,2.60848035,2.60848035,r25,-0.05332950000000003,data_preprocessor,off,observed_damping,3dssd+detr,-5.555694141993439,detr,-0.14491918999999998,0.9444430585800656
1.6297570000000001,2.45057745,2.45057745,clear,1.9263485,2.60848035,2.60848035,r50,-0.2965914999999999,data_preprocessor,off,observed_damping,3dssd+detr,-6.053444105875661,detr,-0.15790289999999985,0.9394655589412434
1.953769,2.67531164,2.67531164,clear,1.9263485,2.60848035,2.60848035,r7p5,0.02742050000000007,data_preprocessor,off,observed_amplification,3dssd+detr,2.5620775713338206,detr,0.0668312900000001,1.0256207757133382
4.9361619999999995,2.775065549999998,2.775065549999998,clear,5.0646629999999995,2.7710941,2.7710941,r15,-0.12850099999999998,decoder,off,observed_amplification,3dssd+detr,0.1433170385660265,detr,0.0039714499999981,1.0014331703856603
4.971766,1.8875555999999998,1.8875555999999998,clear,5.0646629999999995,2.7710941,2.7710941,r25,-0.09289699999999979,decoder,off,observed_damping,3dssd+detr,-31.88410310570111,detr,-0.8835385000000002,0.6811589689429889
5.0290045,2.421094349999998,2.421094349999998,clear,5.0646629999999995,2.7710941,2.7710941,r50,-0.03565849999999937,decoder,off,observed_damping,3dssd+detr,-12.630381263487301,detr,-0.34999975000000205,0.873696187365127
5.031894,2.5622127199999998,2.5622127199999998,clear,5.0646629999999995,2.7710941,2.7710941,r7p5,-0.03276899999999916,decoder,off,observed_damping,3dssd+detr,-7.537866722028685,detr,-0.20888138000000023,0.9246213327797131
3.31752,1.9674441499999995,1.9674441499999995,clear,3.4033505,1.6453494499999994,1.6453494499999994,r15,-0.08583050000000014,encoder,off,observed_amplification,3dssd+detr,19.576066348701794,detr,0.32209470000000007,1.195760663487018
3.306366,1.2028947999999997,1.2028947999999997,clear,3.4033505,1.6453494499999994,1.6453494499999994,r25,-0.09698450000000003,encoder,off,observed_damping,3dssd+detr,-26.891226663126176,detr,-0.4424546499999997,0.7310877333687382
