adverse_median,adverse_p0_p99_range,adverse_width,clear_baseline_id,clear_median,clear_p0_p99_range,clear_width,condition_id,median_change,metric,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
68.275609,62.8784452,62.8784452,clear,67.9058685,66.86047274999999,66.86047274999999,r7p5,0.369740500000006,waiting_ms,off,observed_damping,3dssd+deeplabv3plus,-5.955727481750395,3dssd,-3.9820275499999838,0.940442725182496
33186.0,648.0,648.0,clear,34720.0,256.0,256.0,r7p5,-1534.0,input_point_count,off,observed_amplification,3dssd+deeplabv3plus,153.125,3dssd,392.0,2.53125
512.0,0.0,0.0,clear,512.0,0.0,0.0,r7p5,0.0,sampled_point_count,off,not_defined_zero_clear_width,3dssd+deeplabv3plus,,3dssd,0.0,
75.116453,38.33955220000001,38.33955220000001,clear,74.327299,39.437247600000006,39.437247600000006,r15,0.7891540000000106,inference_e2e_ms,off,observed_damping,3dssd+deeplabv3plus,-2.783397591874537,deeplabv3plus,-1.0976953999999992,0.9721660240812546
38.047045,1.469166880000003,1.469166880000003,clear,37.980976,1.4628435600000032,1.4628435600000032,r15,0.06606899999999882,gpu_kernel_active_ms,off,observed_amplification,3dssd+deeplabv3plus,0.43226221674721454,deeplabv3plus,0.00632331999999991,1.0043226221674721
290.0,0.0,0.0,clear,290.0,0.0,0.0,r15,0.0,kernel_count,off,not_defined_zero_clear_width,3dssd+deeplabv3plus,,deeplabv3plus,0.0,
73.120996,38.33267868000001,38.33267868000001,clear,73.119948,39.44637459999999,39.44637459999999,r15,0.0010480000000114842,kernel_span_ms,off,observed_damping,3dssd+deeplabv3plus,-2.823316290263045,deeplabv3plus,-1.1136959199999836,0.9717668370973696
0.112188,2.2595004800000003,2.2595004800000003,clear,0.112008,2.2393043599999998,2.2393043599999998,r15,0.0001799999999999996,waiting_ms,off,observed_amplification,3dssd+deeplabv3plus,0.9018925859636484,deeplabv3plus,0.020196120000000484,1.0090189258596365
75.480818,38.97768332,38.97768332,clear,74.327299,39.437247600000006,39.437247600000006,r25,1.1535190000000028,inference_e2e_ms,off,observed_damping,3dssd+deeplabv3plus,-1.1653051568436767,deeplabv3plus,-0.45956428000000926,0.9883469484315632
38.053261,1.401779960000006,1.401779960000006,clear,37.980976,1.4628435600000032,1.4628435600000032,r25,0.07228500000000082,gpu_kernel_active_ms,off,observed_damping,3dssd+deeplabv3plus,-4.1743082903545,deeplabv3plus,-0.06106359999999711,0.958256917096455
290.0,0.0,0.0,clear,290.0,0.0,0.0,r25,0.0,kernel_count,off,not_defined_zero_clear_width,3dssd+deeplabv3plus,,deeplabv3plus,0.0,
73.971914,38.84580596,38.84580596,clear,73.119948,39.44637459999999,39.44637459999999,r25,0.8519660000000044,kernel_span_ms,off,observed_damping,3dssd+deeplabv3plus,-1.5224938821120304,deeplabv3plus,-0.6005686399999917,0.9847750611788797
0.110431,2.3321558799999997,2.3321558799999997,clear,0.112008,2.2393043599999998,2.2393043599999998,r25,-0.001576999999999995,waiting_ms,off,observed_amplification,3dssd+deeplabv3plus,4.146444836109731,deeplabv3plus,0.09285151999999997,1.0414644483610973
77.017186,39.8082763,39.8082763,clear,74.327299,39.437247600000006,39.437247600000006,r50,2.689886999999999,inference_e2e_ms,off,observed_amplification,3dssd+deeplabv3plus,0.9408077961302608,deeplabv3plus,0.37102869999999655,1.0094080779613026
38.011621000000005,1.46257035,1.46257035,clear,37.980976,1.4628435600000032,1.4628435600000032,r50,0.030645000000006917,gpu_kernel_active_ms,off,observed_damping,3dssd+deeplabv3plus,-0.018676638259473854,deeplabv3plus,-0.00027321000000313234,0.9998132336174053
290.0,0.0,0.0,clear,290.0,0.0,0.0,r50,0.0,kernel_count,off,not_defined_zero_clear_width,3dssd+deeplabv3plus,,deeplabv3plus,0.0,
75.886131,39.937710159999995,39.937710159999995,clear,73.119948,39.44637459999999,39.44637459999999,r50,2.7661830000000123,kernel_span_ms,off,observed_amplification,3dssd+deeplabv3plus,1.2455784973456119,deeplabv3plus,0.4913355600000031,1.0124557849734561
0.109455,2.11486295,2.11486295,clear,0.112008,2.2393043599999998,2.2393043599999998,r50,-0.0025529999999999997,waiting_ms,off,observed_damping,3dssd+deeplabv3plus,-5.55714588078593,deeplabv3plus,-0.12444140999999975,0.9444285411921407
75.792386,38.662538399999995,38.662538399999995,clear,74.327299,39.437247600000006,39.437247600000006,r7p5,1.465086999999997,inference_e2e_ms,off,observed_damping,3dssd+deeplabv3plus,-1.9644099097828827,deeplabv3plus,-0.7747092000000109,0.9803559009021712
38.054084,1.2707550799999936,1.2707550799999936,clear,37.980976,1.4628435600000032,1.4628435600000032,r7p5,0.07310800000000484,gpu_kernel_active_ms,off,observed_damping,3dssd+deeplabv3plus,-13.131170362469192,deeplabv3plus,-0.19208848000000955,0.8686882963753081
290.0,0.0,0.0,clear,290.0,0.0,0.0,r7p5,0.0,kernel_count,off,not_defined_zero_clear_width,3dssd+deeplabv3plus,,deeplabv3plus,0.0,
74.577838,38.587441840000004,38.587441840000004,clear,73.119948,39.44637459999999,39.44637459999999,r7p5,1.4578900000000061,kernel_span_ms,off,observed_damping,3dssd+deeplabv3plus,-2.177469460019754,deeplabv3plus,-0.8589327599999876,0.9782253053998025
0.112083,2.31290804,2.31290804,clear,0.112008,2.2393043599999998,2.2393043599999998,r7p5,7.500000000000562e-05,waiting_ms,off,observed_amplification,3dssd+deeplabv3plus,3.286899329754367,deeplabv3plus,0.07360368000000017,1.0328689932975437
64.023659,47.814375700000014,47.814375700000014,clear,63.558568,48.70189236,48.70189236,r15,0.4650909999999939,inference_e2e_ms,off,observed_damping,3dssd+detr,-1.8223453278561452,3dssd,-0.8875166599999886,0.9817765467214385
34.487859,1.2584624199999936,1.2584624199999936,clear,34.431566,1.0608241199999924,1.0608241199999924,r15,0.0562930000000037,gpu_kernel_active_ms,off,observed_amplification,3dssd+detr,18.630637847865184,3dssd,0.19763830000000127,1.1863063784786518
481.0,5.0,5.0,clear,481.0,5.0,5.0,r15,0.0,kernel_count,off,observed_unchanged,3dssd+detr,0.0,3dssd,0.0,1.0
63.30205,46.47251724,46.47251724,clear,62.8662,48.73907964,48.73907964,r15,0.43585000000000207,kernel_span_ms,off,observed_damping,3dssd+detr,-4.65040049328268,3dssd,-2.266562399999998,0.9534959950671732
50.927492,47.1442899,47.1442899,clear,50.954651,52.047774280000006,52.047774280000006,r15,-0.02715899999999749,waiting_ms,off,observed_damping,3dssd+detr,-9.421122128337068,3dssd,-4.903484380000009,0.9057887787166293
33159.0,652.0,652.0,clear,34720.0,256.0,256.0,r15,-1561.0,input_point_count,off,observed_amplification,3dssd+detr,154.6875,3dssd,396.0,2.546875
512.0,0.0,0.0,clear,512.0,0.0,0.0,r15,0.0,sampled_point_count,off,not_defined_zero_clear_width,3dssd+detr,,3dssd,0.0,
64.03973,46.71296172,46.71296172,clear,63.558568,48.70189236,48.70189236,r25,0.48116200000000475,inference_e2e_ms,off,observed_damping,3dssd+detr,-4.083887799057173,3dssd,-1.9889306399999995,0.9591611220094283
