clear_p0_p99_range_ms,evaluated_model,mps_mode,pair_id,r15_p0_p99_range_ms,r15_percentage_change,r25_p0_p99_range_ms,r25_percentage_change,r50_p0_p99_range_ms,r50_percentage_change,r7p5_p0_p99_range_ms,r7p5_percentage_change
68.09214682999999,3dssd,off,3dssd+deeplabv3plus,66.46405488000002,-2.3910128051399138,62.932311719999994,-7.5777242313744715,66.04636952,-3.0044247468177354,63.327472760000006,-6.997391464092839
39.437247600000006,deeplabv3plus,off,3dssd+deeplabv3plus,38.33955220000001,-2.783397591874537,38.97768332,-1.1653051568436767,39.8082763,0.9408077961302608,38.662538399999995,-1.9644099097828827
48.70189236,3dssd,off,3dssd+detr,47.814375700000014,-1.8223453278561452,46.71296172,-4.083887799057173,47.18769790999996,-3.1091080379531233,44.15002660000002,-9.346383763392607
29.299307799999998,detr,off,3dssd+detr,30.1130289,2.777270731290127,29.9734926,2.3010263744183135,30.626738249999995,4.530586384706314,29.07360108,-0.7703483015390478
36.30157902,3dssd,off,3dssd+dino,35.73701756,-1.5551980801963516,36.345394,0.12069717401510527,37.33154742000001,2.8372550941449637,35.90187109,-1.101075878213953
71.89407424999999,dino,off,3dssd+dino,71.93944383000002,0.0631061467489813,73.50400023999998,2.239302761451145,73.8164245,2.673864668338788,73.44012187000001,2.150452086807464
35.242646519999994,3dssd,off,3dssd+faster-rcnn,34.73435356,-1.4422667143102808,34.67294252000001,-1.616518781234788,35.20954706,-0.09391876963953383,34.8889,-1.0037456176829496
38.24119415,faster-rcnn,off,3dssd+faster-rcnn,38.562968319999996,0.8414333734920731,37.940539720000004,-0.7862056525240413,39.46907685,3.210890055325333,38.93814492,1.8225130922068677
43.87052500000001,3dssd,off,3dssd+mask-rcnn,38.935916,-11.24811932385128,46.7877608,6.649648710609224,37.833999999999996,-13.75986496628433,44.72258528,1.9422158271413137
67.787552,mask-rcnn,off,3dssd+mask-rcnn,69.31085777999999,2.2471762662265693,67.04415779,-1.0966529813615455,69.42775515,2.4196229272300585,68.97255238999999,1.7481091366154944
70.80893486,3dssd,off,3dssd+vit-upernet,68.69579886,-2.984278755467773,69.50571135999999,-1.8404788923554238,69.76706644,-1.4713798789092514,68.82085860000001,-2.8076629932800357
37.492972300000005,vit-upernet,off,3dssd+vit-upernet,37.53513248,0.11244822006282185,38.260246280000004,2.046447461835399,38.7581664,3.374483329506517,37.894584120000005,1.071165595478818
9.954824779999996,3dssd,off,3dssd+yolov3,9.56888750000001,-3.8768867210537294,9.789991389999997,-1.6558140765185692,10.036769499999998,0.8231658699270783,9.373644239999997,-5.838179504350838
36.405739049999994,yolov3,off,3dssd+yolov3,36.76607905,0.9897889986661523,36.2929373,-0.30984606532797887,37.8567259,3.9855992155720443,36.68146728,0.7573757248034996
228.97192132,centerpoint,off,centerpoint+deeplabv3plus,219.58282036000006,-4.100546873115595,217.68009838,-4.931531724459393,223.27654087999997,-2.487370681595691,216.60305393,-5.401914487459747
44.171613400000005,deeplabv3plus,off,centerpoint+deeplabv3plus,43.5338304,-1.443875264922978,44.861202,1.5611578272121562,43.50540024,-1.5082382297586738,43.9167566,-0.5769696426800808
103.55384959999992,centerpoint,off,centerpoint+detr,86.21918693999996,-16.739756877179367,97.25939698999997,-6.078434200479932,90.09286684,-12.999017237887344,88.55577796999998,-14.483354977080399
29.33870468,detr,off,centerpoint+detr,29.26989148,-0.2345475055921975,30.934045319999996,5.43766555954166,30.67950316,4.570067065414829,29.87017672,1.811504787947582
202.78690047,centerpoint,off,centerpoint+dino,123.96205201000001,-38.87077926498572,128.15097471999997,-36.80510209338772,197.19989979999997,-2.755109258562083,195.51661011,-3.58518737805531
99.35482846,dino,off,centerpoint+dino,99.95220118999995,0.6012518357278118,101.80626036000001,2.467350543498714,101.41789689999999,2.076465202524691,100.63405789999999,1.2875362575005767
149.58589053000003,centerpoint,off,centerpoint+faster-rcnn,133.44790615,-10.788440221749052,132.0659495,-11.712295168966047,138.493589,-7.415339435222624,140.71190619000004,-5.932367222977009
