analysis_scope,camera_model,co_runner,condition_id,frame_count,iqr_ms,lidar_model,maximum_ms,median_ms,minimum_ms,mps_mode,normalized_range,p0_ms,p0_p99_range_ms,p1_ms,p25_ms,p50_ms,p5_ms,p75_ms,p95_ms,p99_ms,pair_id,primary_range_ms,sample_count,target_model,width_ms
single-run exploratory descriptive,detr,3dssd,r7p5,457,13.990806999999997,3dssd,54.267196,46.172158,24.696642,off,0.6296781943785257,24.696642,29.07360108,25.78670472,37.839815,46.172158,29.108055800000002,51.830622,53.407259599999996,53.77024308,3dssd+detr,29.07360108,457,detr,29.07360108
single-run exploratory descriptive,dino,dino,clear,498,21.976428749999997,3dssd,89.429674,76.02594450000001,51.996418,off,0.4774893525985724,51.996418,36.30157902,52.51539055,61.044364,76.02594450000001,54.5608149,83.02079275,87.03319669999999,88.29799702,3dssd+dino,36.30157902,498,3dssd,36.30157902
single-run exploratory descriptive,dino,dino,r15,497,22.671828999999995,3dssd,88.42507,75.881028,52.167298,off,0.4709611677901886,52.167298,35.73701756,53.25391956,60.445089,75.881028,54.9293912,83.116918,86.5176372,87.90431556,3dssd+dino,35.73701756,497,3dssd,35.73701756
single-run exploratory descriptive,dino,dino,r25,501,24.523348,3dssd,88.525282,75.452452,51.444046,off,0.4816993091225187,51.444046,36.345394,52.382796,59.266521,75.452452,54.002551,83.789869,86.89527,87.78944,3dssd+dino,36.345394,501,3dssd,36.345394
single-run exploratory descriptive,dino,dino,r50,495,24.413151999999997,3dssd,90.24195,77.365874,51.840749,off,0.4825324848007276,51.840749,37.33154742000001,53.1841488,60.702943000000005,77.365874,54.904273,85.116095,88.11356119999999,89.17229642000001,3dssd+dino,37.33154742000001,495,3dssd,37.33154742000001
single-run exploratory descriptive,dino,dino,r7p5,500,24.85535025,3dssd,88.558681,76.2755515,52.104181,off,0.4706864832042545,52.104181,35.90187109,52.84316493,59.0519295,76.2755515,54.19633615,83.90727975,86.95403295,88.00605209,3dssd+dino,35.90187109,500,3dssd,35.90187109
single-run exploratory descriptive,dino,3dssd,clear,286,15.305605750000012,3dssd,140.416272,131.0349755,68.036663,off,0.548663240296481,68.036663,71.89407424999999,76.54236205,120.7630935,131.0349755,111.281593,136.06869925,138.79383625,139.93073725,3dssd+dino,71.89407424999999,286,dino,71.89407424999999
single-run exploratory descriptive,dino,3dssd,r15,282,14.658552000000014,3dssd,142.319037,131.89237,67.84132,off,0.5454405272268594,67.84132,71.93944383000002,73.28211765,121.5631525,131.89237,114.12070890000001,136.22170450000002,139.3296949,139.78076383,3dssd+dino,71.93944383000002,282,dino,71.93944383000002
single-run exploratory descriptive,dino,3dssd,r25,282,14.790873500000018,3dssd,140.68218,132.695915,66.824252,off,0.5539281313972625,66.824252,73.50400023999998,73.34872646,121.853313,132.695915,114.4854677,136.64418650000002,139.3029509,140.32825223999998,3dssd+dino,73.50400023999998,282,dino,73.50400023999998
single-run exploratory descriptive,dino,3dssd,r50,280,14.676026499999992,3dssd,142.057679,131.1575115,67.693856,off,0.5628074492706427,67.693856,73.8164245,98.28067835,123.091393,131.1575115,118.35590555,137.7674195,140.61003730000002,141.5102805,3dssd+dino,73.8164245,280,dino,73.8164245
single-run exploratory descriptive,dino,3dssd,r7p5,282,14.661580750000013,3dssd,141.45302,132.180097,66.667745,off,0.5556065060990235,66.667745,73.44012187000001,103.50106038999999,121.60804875,132.180097,115.72389104999999,136.2696295,139.2737747,140.10786687,3dssd+dino,73.44012187000001,282,dino,73.44012187000001
single-run exploratory descriptive,faster-rcnn,faster-rcnn,clear,537,5.226551000000001,3dssd,75.036293,71.586649,39.623356,off,0.49230753237241204,39.623356,35.242646519999994,40.13353,68.315582,71.586649,40.789397,73.542133,74.4803126,74.86600252,3dssd+faster-rcnn,35.242646519999994,537,3dssd,35.242646519999994
single-run exploratory descriptive,faster-rcnn,faster-rcnn,r15,543,5.4614104999999995,3dssd,74.884685,70.611579,39.70129,off,0.4919073337816167,39.70129,34.73435356,40.114111279999996,67.7318095,70.611579,40.404507200000005,73.19322,74.1395725,74.43564356,3dssd+faster-rcnn,34.73435356,543,3dssd,34.73435356
single-run exploratory descriptive,faster-rcnn,faster-rcnn,r25,540,5.208907500000009,3dssd,74.906078,71.2792925,39.974425,off,0.4864378040789337,39.974425,34.67294252000001,40.12999562,68.17420125,71.2792925,40.606020199999996,73.38310875,74.2791605,74.64736752,3dssd+faster-rcnn,34.67294252000001,540,3dssd,34.67294252000001
single-run exploratory descriptive,faster-rcnn,faster-rcnn,r50,534,5.631876500000004,3dssd,75.631695,71.479236,40.11966,off,0.49258426684918677,40.11966,35.20954706,40.54078394,68.32372825,71.479236,40.95073215,73.95560475,74.9623184,75.32920706,3dssd+faster-rcnn,35.20954706,534,3dssd,35.20954706
single-run exploratory descriptive,faster-rcnn,faster-rcnn,r7p5,541,5.3230549999999965,3dssd,75.022251,70.419303,39.877529,off,0.4954451196428343,39.877529,34.8889,40.281627,68.016132,70.419303,40.827266,73.339187,74.425312,74.766429,3dssd+faster-rcnn,34.8889,541,3dssd,34.8889
single-run exploratory descriptive,faster-rcnn,3dssd,clear,456,13.430145499999995,3dssd,82.043353,68.929965,36.040846,off,0.554783310132248,36.040846,38.24119415,44.39134105,58.62116075,68.929965,50.27141025,72.05130625,73.62814075,74.28204015,3dssd+faster-rcnn,38.24119415,456,faster-rcnn,38.24119415
single-run exploratory descriptive,faster-rcnn,3dssd,r15,457,13.920663999999995,3dssd,76.818347,66.783826,35.345883,off,0.5774297555219432,35.345883,38.562968319999996,46.7481826,57.154637,66.783826,50.266704,71.075301,73.2048452,73.90885132,3dssd+faster-rcnn,38.562968319999996,457,faster-rcnn,38.562968319999996
single-run exploratory descriptive,faster-rcnn,3dssd,r25,457,11.362841000000003,3dssd,83.856753,67.929834,36.366292,off,0.5585254296367043,36.366292,37.940539720000004,48.135005039999996,59.654889,67.929834,51.793652599999994,71.01773,73.5720106,74.30683172,3dssd+faster-rcnn,37.940539720000004,457,faster-rcnn,37.940539720000004
single-run exploratory descriptive,faster-rcnn,3dssd,r50,456,13.919726000000004,3dssd,77.955686,66.56711100000001,35.878981,off,0.5929215833026011,35.878981,39.46907685,47.6763828,57.4706435,66.56711100000001,50.521695,71.3903695,74.637876,75.34805785,3dssd+faster-rcnn,39.46907685,456,faster-rcnn,39.46907685
single-run exploratory descriptive,faster-rcnn,3dssd,r7p5,457,14.039348999999994,3dssd,77.686663,66.833585,34.921536,off,0.5826134408321804,34.921536,38.93814492,40.34330528,56.966068,66.833585,49.8673666,71.005417,73.1350942,73.85968092,3dssd+faster-rcnn,38.93814492,457,faster-rcnn,38.93814492
single-run exploratory descriptive,mask-rcnn,mask-rcnn,clear,501,17.909246000000003,3dssd,87.185523,73.559712,42.23905,off,0.5963933763090319,42.23905,43.87052500000001,53.606294,62.982932,73.559712,56.451027,80.892178,84.420903,86.109575,3dssd+mask-rcnn,43.87052500000001,501,3dssd,43.87052500000001
single-run exploratory descriptive,mask-rcnn,mask-rcnn,r15,501,17.714008999999997,3dssd,88.283641,74.267025,47.710508,off,0.5242692298499906,47.710508,38.935916,53.883328,62.980431,74.267025,56.467451,80.69444,84.418024,86.646424,3dssd+mask-rcnn,38.935916,501,3dssd,38.935916
single-run exploratory descriptive,mask-rcnn,mask-rcnn,r25,500,17.597021749999996,3dssd,88.099471,73.926343,39.863868,off,0.6328970012759862,39.863868,46.7877608,54.60520938,62.772284,73.926343,56.2939336,80.36930575,84.3767797,86.6516288,3dssd+mask-rcnn,46.7877608,500,3dssd,46.7877608
single-run exploratory descriptive,mask-rcnn,mask-rcnn,r50,501,18.167906999999992,3dssd,87.754373,74.636325,48.080666,off,0.5069113464522804,48.080666,37.833999999999996,53.59564,62.510859,74.636325,56.1358,80.678766,83.920644,85.914666,3dssd+mask-rcnn,37.833999999999996,501,3dssd,37.833999999999996
single-run exploratory descriptive,mask-rcnn,mask-rcnn,r7p5,503,17.991161000000005,3dssd,87.634771,73.736301,41.011147,off,0.606520596686834,41.011147,44.72258528,54.07249016,62.664806999999996,73.736301,56.2966897,80.655968,84.0874207,85.73373228,3dssd+mask-rcnn,44.72258528,503,3dssd,44.72258528
single-run exploratory descriptive,mask-rcnn,3dssd,clear,371,8.155804500000002,3dssd,182.257483,95.880941,49.773302,off,0.7069971497255122,49.773302,67.787552,77.2126291,92.129002,95.880941,86.53339650000001,100.2848065,110.7314085,117.560854,3dssd+mask-rcnn,67.787552,371,mask-rcnn,67.787552
single-run exploratory descriptive,mask-rcnn,3dssd,r15,368,8.710909499999985,3dssd,152.197747,95.89333350000001,48.65388,off,0.7227912019556603,48.65388,69.31085777999999,80.66411452,92.42269350000001,95.89333350000001,87.50145095,101.133603,112.51277135,117.96473778,3dssd+mask-rcnn,69.31085777999999,368,mask-rcnn,69.31085777999999
single-run exploratory descriptive,mask-rcnn,3dssd,r25,368,8.218040250000016,3dssd,176.277492,95.632525,48.178088,off,0.7010602071836961,48.178088,67.04415779,68.03289239,92.45706899999999,95.632525,86.10467905,100.67510925,110.28042494999998,115.22224579,3dssd+mask-rcnn,67.04415779,368,mask-rcnn,67.04415779
single-run exploratory descriptive,mask-rcnn,3dssd,r50,370,9.280391249999994,3dssd,153.852215,95.745161,47.346387,off,0.7251306951168007,47.346387,69.42775515,76.35505676,91.90907975,95.745161,84.9899209,101.189471,109.59302295000002,116.77414215,3dssd+mask-rcnn,69.42775515,370,mask-rcnn,69.42775515
single-run exploratory descriptive,mask-rcnn,3dssd,r7p5,370,7.743243750000005,3dssd,173.527438,95.1753835,49.569467,off,0.7246889884084364,49.569467,68.97255238999999,84.43130267,91.827854,95.1753835,88.5984989,99.57109775,113.63649795,118.54201939,3dssd+mask-rcnn,68.97255238999999,370,mask-rcnn,68.97255238999999
single-run exploratory descriptive,vit-upernet,vit-upernet,clear,492,2.857786500000003,3dssd,111.663159,77.3997085,40.004791,off,0.9148475650912818,40.004791,70.80893486,40.257988319999995,75.5316505,77.3997085,40.6456842,78.389437,106.10024075000001,110.81372585999999,3dssd+vit-upernet,70.80893486,492,3dssd,70.80893486
single-run exploratory descriptive,vit-upernet,vit-upernet,r15,495,3.7937134999999955,3dssd,110.655257,76.987847,39.842585,off,0.8922940637630767,39.842585,68.69579886,40.04450064,74.41923650000001,76.987847,40.3545306,78.21295,101.688567,108.53838386,3dssd+vit-upernet,68.69579886,495,3dssd,68.69579886
single-run exploratory descriptive,vit-upernet,vit-upernet,r25,493,3.146799999999999,3dssd,111.910102,77.498634,39.990357,off,0.8968636964620563,39.990357,69.50571135999999,40.26009324,75.346959,77.498634,40.5337216,78.493759,101.2082166,109.49606836,3dssd+vit-upernet,69.50571135999999,493,3dssd,69.50571135999999
single-run exploratory descriptive,vit-upernet,vit-upernet,r50,487,2.4895585000000153,3dssd,111.77385,78.159253,39.755132,off,0.8926270884395477,39.755132,69.76706644,40.20927238,76.55002999999999,78.159253,40.6029399,79.03958850000001,102.0883578,109.52219844,3dssd+vit-upernet,69.76706644,487,3dssd,69.76706644
single-run exploratory descriptive,vit-upernet,vit-upernet,r7p5,491,2.588842999999997,3dssd,110.030894,77.472686,39.885074,off,0.8883241585298851,39.885074,68.82085860000001,40.1671343,75.8816545,77.472686,40.5442775,78.4704975,101.613879,108.70593260000001,3dssd+vit-upernet,68.82085860000001,491,3dssd,68.82085860000001
