clear_p0_p99_range_ms,evaluated_model,mps_mode,pair_id,r15_p0_p99_range_ms,r15_percentage_change,r25_p0_p99_range_ms,r25_percentage_change,r50_p0_p99_range_ms,r50_percentage_change,r7p5_p0_p99_range_ms,r7p5_percentage_change
49.90796548,3dssd,on,3dssd+deeplabv3plus,52.1498454,4.492028273319226,50.86079569999999,1.9091746394306996,51.35878988999999,2.906999706452451,51.645320719999994,3.4811181407429226
10.693728640000003,deeplabv3plus,on,3dssd+deeplabv3plus,10.738745549999997,0.4209655164767012,11.095486959999995,3.7569526357458694,10.402770759999996,-2.7208272230854647,10.912386380000001,2.0447287130711977
22.2600605,3dssd,on,3dssd+detr,24.726816379999995,11.081532684962792,23.737441760000003,6.6369148457615434,24.234406759999985,8.869455947794847,23.83792808000002,7.088334643115712
9.913062320000002,detr,on,3dssd+detr,10.476059279999998,5.679344503505512,10.018476199999998,1.063383610403812,10.289543879999997,3.7978330796975657,10.222803199999998,3.12457311374994
45.43616231999999,3dssd,on,3dssd+dino,47.07378708,3.6042321278511036,47.779290719999985,5.156968107248372,46.14009122,1.5492701497154426,47.511352599999995,4.567265750537564
10.338978830000002,dino,on,3dssd+dino,15.24101499999999,47.41315608245604,14.210634549999995,37.447177169623735,14.068099580000009,36.06855968385811,13.592285750000002,31.46642403948128
28.79369710000001,3dssd,on,3dssd+faster-rcnn,28.81364032000001,0.0692624498019212,28.821422239999997,0.09628892011921408,29.26439484,1.6347249134602837,28.105322619999995,-2.390712375730364
9.745800880000004,faster-rcnn,on,3dssd+faster-rcnn,10.226833079999999,4.935789330430018,10.36451383,6.34850801507445,10.512780450000001,7.869846505626499,10.214945240000006,4.81381023249472
43.948522049999994,3dssd,on,3dssd+mask-rcnn,41.388981439999995,-5.823951501914049,43.8933608,-0.1255133220116833,43.28430287000002,-1.5113572630367278,43.431525129999976,-1.1763692972697304
18.646352549999996,mask-rcnn,on,3dssd+mask-rcnn,18.76202996,0.6203755382711673,16.704277599999998,-10.415307469878332,18.476160399999998,-0.9127369524073448,17.86000733999999,-4.217152968074755
32.20936597999998,3dssd,on,3dssd+vit-upernet,32.79594931000001,1.8211576420481768,32.131078,-0.2430596741599622,31.72568776,-1.5016694842745926,31.676255859999998,-1.6551400618410539
9.4924508,vit-upernet,on,3dssd+vit-upernet,9.892023649999992,4.209374990913739,9.218296610000003,-2.8881286379698445,9.653911879999995,1.700941973805059,9.021018700000006,-4.966389712549201
4.1234508000000005,3dssd,on,3dssd+yolov3,4.988562049999999,20.980273367151558,4.516842159999996,9.540343248426675,4.691335559999999,13.772075563506124,4.416866150000004,7.115771819079386
7.226235279999999,yolov3,on,3dssd+yolov3,7.969516799999999,10.285874887815716,7.120555999999997,-1.4624389589485087,8.05162575,11.422136673081052,7.584923120000001,4.963688921017284
