adverse_p0_p99_range_ms,adverse_width_ms,analysis_scope,camera_model,clear_baseline_id,clear_p0_p99_range_ms,clear_width_ms,co_runner,condition_id,lidar_model,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
66.46405488000002,66.46405488000002,single-run exploratory descriptive,deeplabv3plus,clear,68.09214682999999,68.09214682999999,deeplabv3plus,r15,3dssd,off,observed_damping,3dssd+deeplabv3plus,-2.3910128051399138,3dssd,-1.6280919499999698,0.9760898719486009
62.932311719999994,62.932311719999994,single-run exploratory descriptive,deeplabv3plus,clear,68.09214682999999,68.09214682999999,deeplabv3plus,r25,3dssd,off,observed_damping,3dssd+deeplabv3plus,-7.5777242313744715,3dssd,-5.159835109999996,0.9242227576862553
66.04636952,66.04636952,single-run exploratory descriptive,deeplabv3plus,clear,68.09214682999999,68.09214682999999,deeplabv3plus,r50,3dssd,off,observed_damping,3dssd+deeplabv3plus,-3.0044247468177354,3dssd,-2.045777309999991,0.9699557525318226
63.327472760000006,63.327472760000006,single-run exploratory descriptive,deeplabv3plus,clear,68.09214682999999,68.09214682999999,deeplabv3plus,r7p5,3dssd,off,observed_damping,3dssd+deeplabv3plus,-6.997391464092839,3dssd,-4.764674069999984,0.9300260853590716
38.33955220000001,38.33955220000001,single-run exploratory descriptive,deeplabv3plus,clear,39.437247600000006,39.437247600000006,3dssd,r15,3dssd,off,observed_damping,3dssd+deeplabv3plus,-2.783397591874537,deeplabv3plus,-1.0976953999999992,0.9721660240812546
38.97768332,38.97768332,single-run exploratory descriptive,deeplabv3plus,clear,39.437247600000006,39.437247600000006,3dssd,r25,3dssd,off,observed_damping,3dssd+deeplabv3plus,-1.1653051568436767,deeplabv3plus,-0.45956428000000926,0.9883469484315632
39.8082763,39.8082763,single-run exploratory descriptive,deeplabv3plus,clear,39.437247600000006,39.437247600000006,3dssd,r50,3dssd,off,observed_amplification,3dssd+deeplabv3plus,0.9408077961302608,deeplabv3plus,0.37102869999999655,1.0094080779613026
38.662538399999995,38.662538399999995,single-run exploratory descriptive,deeplabv3plus,clear,39.437247600000006,39.437247600000006,3dssd,r7p5,3dssd,off,observed_damping,3dssd+deeplabv3plus,-1.9644099097828827,deeplabv3plus,-0.7747092000000109,0.9803559009021712
47.814375700000014,47.814375700000014,single-run exploratory descriptive,detr,clear,48.70189236,48.70189236,detr,r15,3dssd,off,observed_damping,3dssd+detr,-1.8223453278561452,3dssd,-0.8875166599999886,0.9817765467214385
46.71296172,46.71296172,single-run exploratory descriptive,detr,clear,48.70189236,48.70189236,detr,r25,3dssd,off,observed_damping,3dssd+detr,-4.083887799057173,3dssd,-1.9889306399999995,0.9591611220094283
47.18769790999996,47.18769790999996,single-run exploratory descriptive,detr,clear,48.70189236,48.70189236,detr,r50,3dssd,off,observed_damping,3dssd+detr,-3.1091080379531233,3dssd,-1.5141944500000406,0.9689089196204688
44.15002660000002,44.15002660000002,single-run exploratory descriptive,detr,clear,48.70189236,48.70189236,detr,r7p5,3dssd,off,observed_damping,3dssd+detr,-9.346383763392607,3dssd,-4.551865759999984,0.9065361623660739
30.1130289,30.1130289,single-run exploratory descriptive,detr,clear,29.299307799999998,29.299307799999998,3dssd,r15,3dssd,off,observed_amplification,3dssd+detr,2.777270731290127,detr,0.8137211000000022,1.0277727073129013
29.9734926,29.9734926,single-run exploratory descriptive,detr,clear,29.299307799999998,29.299307799999998,3dssd,r25,3dssd,off,observed_amplification,3dssd+detr,2.3010263744183135,detr,0.6741848000000026,1.0230102637441831
