model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
pointpillars+mask-rcnn,mask-rcnn,image,Clear,clear,0.0,20.180,49.090,69.270,141.286,49.090,61.389,456,61.431,58.990,63.416
pointpillars+mask-rcnn,pointpillars,lidar,7.5 mm/h,r7p5,7.5,41.257,28.054,69.310,105.525,28.054,51.362,690,53.507,41.037,61.621
pointpillars+mask-rcnn,mask-rcnn,image,7.5 mm/h,r7p5,7.5,18.053,49.366,67.419,145.342,49.366,60.250,456,59.928,57.719,62.073
pointpillars+mask-rcnn,pointpillars,lidar,15 mm/h,r15,15.0,41.577,27.869,69.446,85.770,27.869,51.260,690,53.187,42.022,61.628
pointpillars+mask-rcnn,mask-rcnn,image,15 mm/h,r15,15.0,19.548,48.717,68.265,153.634,48.717,60.504,454,60.434,57.958,62.361
pointpillars+mask-rcnn,pointpillars,lidar,25 mm/h,r25,25.0,42.180,27.179,69.359,74.099,27.179,51.476,692,53.689,41.055,62.063
pointpillars+mask-rcnn,mask-rcnn,image,25 mm/h,r25,25.0,21.515,47.545,69.060,133.835,47.545,60.728,456,60.541,58.162,62.749
pointpillars+mask-rcnn,pointpillars,lidar,50 mm/h,r50,50.0,40.956,27.933,68.889,71.899,27.933,51.068,693,53.476,41.143,60.985
pointpillars+mask-rcnn,mask-rcnn,image,50 mm/h,r50,50.0,21.351,47.006,68.357,142.179,47.006,60.035,456,59.930,57.412,62.147
pointpillars+vit-upernet,pointpillars,lidar,Clear,clear,0.0,30.177,28.654,58.831,65.234,28.654,43.550,756,45.523,31.004,54.070
pointpillars+vit-upernet,vit-upernet,image,Clear,clear,0.0,12.119,36.312,48.431,48.862,36.312,42.526,457,43.198,38.625,45.616
pointpillars+vit-upernet,pointpillars,lidar,7.5 mm/h,r7p5,7.5,30.108,27.767,57.875,59.457,27.767,41.195,760,39.020,30.945,52.175
pointpillars+vit-upernet,vit-upernet,image,7.5 mm/h,r7p5,7.5,11.961,35.693,47.654,48.114,35.693,40.658,458,39.450,36.859,44.934
pointpillars+vit-upernet,pointpillars,lidar,15 mm/h,r15,15.0,30.311,28.194,58.505,62.890,28.194,42.229,759,40.450,31.008,53.273
pointpillars+vit-upernet,vit-upernet,image,15 mm/h,r15,15.0,11.947,35.937,47.884,48.570,35.937,41.469,458,41.383,37.788,45.136
pointpillars+vit-upernet,pointpillars,lidar,25 mm/h,r25,25.0,31.161,27.769,58.930,62.123,27.769,42.360,757,40.653,31.255,53.342
pointpillars+vit-upernet,vit-upernet,image,25 mm/h,r25,25.0,11.659,35.913,47.572,48.154,35.913,41.423,457,40.887,37.745,45.091
pointpillars+vit-upernet,pointpillars,lidar,50 mm/h,r50,50.0,30.582,28.222,58.805,68.930,28.222,41.692,756,39.038,31.548,52.817
pointpillars+vit-upernet,vit-upernet,image,50 mm/h,r50,50.0,12.097,35.604,47.700,51.280,35.604,41.168,457,40.191,37.497,45.203
pointpillars+yolov3,pointpillars,lidar,Clear,clear,0.0,8.301,28.689,36.990,38.270,28.689,32.000,761,31.869,30.433,33.321
pointpillars+yolov3,yolov3,image,Clear,clear,0.0,12.529,8.812,21.341,23.947,8.812,12.432,457,12.053,11.095,12.824
pointpillars+yolov3,pointpillars,lidar,7.5 mm/h,r7p5,7.5,10.092,27.345,37.437,44.376,27.345,31.388,755,31.233,29.460,32.829
pointpillars+yolov3,yolov3,image,7.5 mm/h,r7p5,7.5,11.653,8.713,20.367,23.367,8.713,11.939,457,11.456,10.119,12.502
pointpillars+yolov3,pointpillars,lidar,15 mm/h,r15,15.0,8.880,27.699,36.579,55.124,27.699,31.279,759,31.196,29.551,32.528
pointpillars+yolov3,yolov3,image,15 mm/h,r15,15.0,11.443,8.767,20.211,28.428,8.767,12.048,457,11.360,10.164,12.576
pointpillars+yolov3,pointpillars,lidar,25 mm/h,r25,25.0,9.628,27.455,37.083,44.854,27.455,31.268,754,31.186,29.232,32.723
pointpillars+yolov3,yolov3,image,25 mm/h,r25,25.0,12.597,8.791,21.389,24.855,8.791,11.926,457,11.089,10.186,12.344
pointpillars+yolov3,pointpillars,lidar,50 mm/h,r50,50.0,9.454,27.427,36.880,50.351,27.427,31.765,759,31.578,30.360,32.974
pointpillars+yolov3,yolov3,image,50 mm/h,r50,50.0,12.013,8.927,20.940,35.016,8.927,12.479,457,11.688,10.797,12.774
