model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
3dssd+mask-rcnn,mask-rcnn,image,7.5 mm/h,r7p5,7.5,17.860,48.991,66.851,142.001,48.991,58.477,455,58.181,55.713,60.326
3dssd+mask-rcnn,3dssd,lidar,15 mm/h,r15,15.0,41.389,40.239,81.628,85.243,40.239,62.338,573,63.373,54.394,70.785
3dssd+mask-rcnn,mask-rcnn,image,15 mm/h,r15,15.0,18.762,47.994,66.757,148.438,47.994,58.065,453,57.570,55.419,59.717
3dssd+mask-rcnn,3dssd,lidar,25 mm/h,r25,25.0,43.893,40.490,84.383,89.349,40.490,63.925,561,64.214,56.286,72.428
3dssd+mask-rcnn,mask-rcnn,image,25 mm/h,r25,25.0,16.704,49.479,66.183,152.727,49.479,58.942,456,58.903,56.171,60.939
3dssd+mask-rcnn,3dssd,lidar,50 mm/h,r50,50.0,43.284,39.981,83.266,93.654,39.981,61.897,580,63.170,53.704,70.123
3dssd+mask-rcnn,mask-rcnn,image,50 mm/h,r50,50.0,18.476,47.154,65.630,137.046,47.154,57.296,456,56.981,54.585,59.348
3dssd+vit-upernet,3dssd,lidar,Clear,clear,0.0,32.209,40.095,72.304,76.664,40.095,50.857,695,50.086,42.224,55.202
3dssd+vit-upernet,vit-upernet,image,Clear,clear,0.0,9.492,35.943,45.435,45.824,35.943,40.180,456,39.619,37.696,42.699
3dssd+vit-upernet,3dssd,lidar,7.5 mm/h,r7p5,7.5,31.676,40.030,71.706,76.303,40.030,50.394,699,49.902,41.562,54.968
3dssd+vit-upernet,vit-upernet,image,7.5 mm/h,r7p5,7.5,9.021,35.777,44.798,45.858,35.777,39.864,458,39.342,37.366,42.317
3dssd+vit-upernet,3dssd,lidar,15 mm/h,r15,15.0,32.796,39.948,72.744,75.547,39.948,50.574,694,50.270,41.777,55.270
3dssd+vit-upernet,vit-upernet,image,15 mm/h,r15,15.0,9.892,35.532,45.424,45.696,35.532,40.004,456,39.206,37.384,42.775
3dssd+vit-upernet,3dssd,lidar,25 mm/h,r25,25.0,32.131,40.245,72.376,78.502,40.245,50.818,691,50.042,42.009,55.521
3dssd+vit-upernet,vit-upernet,image,25 mm/h,r25,25.0,9.218,36.184,45.403,54.249,36.184,40.110,454,39.566,37.600,42.525
3dssd+vit-upernet,3dssd,lidar,50 mm/h,r50,50.0,31.726,39.929,71.654,74.949,39.929,50.650,697,50.259,42.201,55.009
3dssd+vit-upernet,vit-upernet,image,50 mm/h,r50,50.0,9.654,35.483,45.137,47.523,35.483,40.109,457,39.873,37.371,42.891
3dssd+yolov3,3dssd,lidar,Clear,clear,0.0,4.123,40.111,44.234,45.258,40.111,41.897,761,42.129,40.796,42.811
3dssd+yolov3,yolov3,image,Clear,clear,0.0,7.226,8.881,16.107,16.869,8.881,10.795,457,10.338,9.768,11.383
3dssd+yolov3,3dssd,lidar,7.5 mm/h,r7p5,7.5,4.417,40.086,44.503,46.760,40.086,41.928,756,42.191,40.858,42.854
3dssd+yolov3,yolov3,image,7.5 mm/h,r7p5,7.5,7.585,8.797,16.382,27.109,8.797,11.328,457,10.884,9.798,12.000
3dssd+yolov3,3dssd,lidar,15 mm/h,r15,15.0,4.989,39.579,44.568,49.937,39.579,41.677,756,41.744,40.609,42.675
3dssd+yolov3,yolov3,image,15 mm/h,r15,15.0,7.970,8.860,16.829,24.235,8.860,11.142,457,10.800,9.987,11.699
3dssd+yolov3,3dssd,lidar,25 mm/h,r25,25.0,4.517,40.121,44.638,45.657,40.121,42.050,755,42.229,40.816,43.077
3dssd+yolov3,yolov3,image,25 mm/h,r25,25.0,7.121,9.099,16.220,21.814,9.099,11.120,457,10.628,10.168,11.685
3dssd+yolov3,3dssd,lidar,50 mm/h,r50,50.0,4.691,39.697,44.388,45.611,39.697,41.807,757,41.932,40.666,42.792
3dssd+yolov3,yolov3,image,50 mm/h,r50,50.0,8.052,8.914,16.966,28.648,8.914,11.250,456,10.875,10.228,11.705
centerpoint+deeplabv3plus,centerpoint,lidar,Clear,clear,0.0,108.905,136.702,245.607,255.953,136.702,205.766,176,208.306,188.772,222.626
centerpoint+deeplabv3plus,deeplabv3plus,image,Clear,clear,0.0,49.208,40.021,89.230,91.320,40.021,56.453,457,49.683,41.402,72.641
