adverse_median,adverse_p0_p99_range,adverse_width,clear_baseline_id,clear_median,clear_p0_p99_range,clear_width,condition_id,median_change,metric,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
44.591438499999995,53.38448061999998,53.38448061999998,clear,45.866879,52.17640356,52.17640356,r7p5,-1.275440500000002,waiting_ms,on,observed_amplification,3dssd+deeplabv3plus,2.3153705076869757,3dssd,1.2080770599999795,1.0231537050768698
33186.0,649.7799999999988,649.7799999999988,clear,34720.0,256.0,256.0,r7p5,-1534.0,input_point_count,on,observed_amplification,3dssd+deeplabv3plus,153.82031249999955,3dssd,393.77999999999884,2.5382031249999955
512.0,0.0,0.0,clear,512.0,0.0,0.0,r7p5,0.0,sampled_point_count,on,not_defined_zero_clear_width,3dssd+deeplabv3plus,,3dssd,0.0,
44.182088500000006,10.738745549999997,10.738745549999997,clear,43.421929,10.693728640000003,10.693728640000003,r15,0.7601595000000074,inference_e2e_ms,on,observed_amplification,3dssd+deeplabv3plus,0.4209655164767012,deeplabv3plus,0.04501690999999397,1.004209655164767
42.160176,6.452515549999994,6.452515549999994,clear,41.525382,5.953565799999993,5.953565799999993,r15,0.6347939999999994,gpu_kernel_active_ms,on,observed_amplification,3dssd+deeplabv3plus,8.38068758726076,deeplabv3plus,0.4989497500000013,1.0838068758726076
290.0,0.0,0.0,clear,290.0,0.0,0.0,r15,0.0,kernel_count,on,not_defined_zero_clear_width,3dssd+deeplabv3plus,,deeplabv3plus,0.0,
43.716726,10.7966646,10.7966646,clear,42.958364,10.655064639999999,10.655064639999999,r15,0.7583619999999982,kernel_span_ms,on,observed_amplification,3dssd+deeplabv3plus,1.3289451053015933,deeplabv3plus,0.14159996000000064,1.013289451053016
0.042206,0.31569129999999995,0.31569129999999995,clear,0.04358,0.38412135999999986,0.38412135999999986,r15,-0.0013740000000000002,waiting_ms,on,observed_damping,3dssd+deeplabv3plus,-17.81469793817244,deeplabv3plus,-0.0684300599999999,0.8218530206182756
44.330747,11.095486959999995,11.095486959999995,clear,43.421929,10.693728640000003,10.693728640000003,r25,0.9088180000000037,inference_e2e_ms,on,observed_amplification,3dssd+deeplabv3plus,3.7569526357458694,deeplabv3plus,0.4017583199999919,1.0375695263574587
42.076404,6.642875520000004,6.642875520000004,clear,41.525382,5.953565799999993,5.953565799999993,r25,0.5510219999999961,gpu_kernel_active_ms,on,observed_amplification,3dssd+deeplabv3plus,11.578098624525367,deeplabv3plus,0.6893097200000113,1.1157809862452537
290.0,0.0,0.0,clear,290.0,0.0,0.0,r25,0.0,kernel_count,on,not_defined_zero_clear_width,3dssd+deeplabv3plus,,deeplabv3plus,0.0,
43.804779,11.159127319999996,11.159127319999996,clear,42.958364,10.655064639999999,10.655064639999999,r25,0.8464150000000004,kernel_span_ms,on,observed_amplification,3dssd+deeplabv3plus,4.730733196190129,deeplabv3plus,0.504062679999997,1.0473073319619013
0.042967,0.37862176000000003,0.37862176000000003,clear,0.04358,0.38412135999999986,0.38412135999999986,r25,-0.0006130000000000024,waiting_ms,on,observed_damping,3dssd+deeplabv3plus,-1.431735012080515,deeplabv3plus,-0.005499599999999827,0.9856826498791948
43.562169,10.402770759999996,10.402770759999996,clear,43.421929,10.693728640000003,10.693728640000003,r50,0.1402399999999986,inference_e2e_ms,on,observed_damping,3dssd+deeplabv3plus,-2.7208272230854647,deeplabv3plus,-0.29095788000000766,0.9727917277691454
41.788265,6.221773160000005,6.221773160000005,clear,41.525382,5.953565799999993,5.953565799999993,r50,0.2628830000000022,gpu_kernel_active_ms,on,observed_amplification,3dssd+deeplabv3plus,4.504986910533737,deeplabv3plus,0.26820736000001233,1.0450498691053374
290.0,0.0,0.0,clear,290.0,0.0,0.0,r50,0.0,kernel_count,on,not_defined_zero_clear_width,3dssd+deeplabv3plus,,deeplabv3plus,0.0,
43.143067,10.618938239999999,10.618938239999999,clear,42.958364,10.655064639999999,10.655064639999999,r50,0.18470299999999895,kernel_span_ms,on,observed_damping,3dssd+deeplabv3plus,-0.33905378541185804,deeplabv3plus,-0.03612640000000056,0.9966094621458814
0.042771,0.14860752,0.14860752,clear,0.04358,0.38412135999999986,0.38412135999999986,r50,-0.0008089999999999972,waiting_ms,on,observed_damping,3dssd+deeplabv3plus,-61.31235190878215,deeplabv3plus,-0.23551383999999986,0.3868764809121785
43.822153,10.912386380000001,10.912386380000001,clear,43.421929,10.693728640000003,10.693728640000003,r7p5,0.40022400000000147,inference_e2e_ms,on,observed_amplification,3dssd+deeplabv3plus,2.0447287130711977,deeplabv3plus,0.2186577399999976,1.020447287130712
41.9126885,6.447897140000002,6.447897140000002,clear,41.525382,5.953565799999993,5.953565799999993,r7p5,0.3873065000000011,gpu_kernel_active_ms,on,observed_amplification,3dssd+deeplabv3plus,8.303113740676382,deeplabv3plus,0.49433134000000933,1.0830311374067638
290.0,0.0,0.0,clear,290.0,0.0,0.0,r7p5,0.0,kernel_count,on,not_defined_zero_clear_width,3dssd+deeplabv3plus,,deeplabv3plus,0.0,
43.411322,10.848730840000002,10.848730840000002,clear,42.958364,10.655064639999999,10.655064639999999,r7p5,0.4529579999999953,kernel_span_ms,on,observed_amplification,3dssd+deeplabv3plus,1.817597607741983,deeplabv3plus,0.19366620000000268,1.0181759760774198
0.043895,0.2949423200000002,0.2949423200000002,clear,0.04358,0.38412135999999986,0.38412135999999986,r7p5,0.0003150000000000028,waiting_ms,on,observed_damping,3dssd+deeplabv3plus,-23.216370992750758,deeplabv3plus,-0.08917903999999965,0.7678362900724924
46.40493,24.726816379999995,24.726816379999995,clear,46.609221,22.2600605,22.2600605,r15,-0.20429099999999778,inference_e2e_ms,on,observed_amplification,3dssd+detr,11.081532684962792,3dssd,2.466755879999994,1.110815326849628
40.599028,19.016532039999987,19.016532039999987,clear,40.683631,17.588489000000003,17.588489000000003,r15,-0.08460300000000132,gpu_kernel_active_ms,on,observed_amplification,3dssd+detr,8.11919113688495,3dssd,1.4280430399999844,1.0811919113688495
481.0,5.0,5.0,clear,481.0,5.0,5.0,r15,0.0,kernel_count,on,observed_unchanged,3dssd+detr,0.0,3dssd,0.0,1.0
45.625172,24.639180319999994,24.639180319999994,clear,45.768884,22.054008499999995,22.054008499999995,r15,-0.14371200000000073,kernel_span_ms,on,observed_amplification,3dssd+detr,11.722004278723297,3dssd,2.5851718199999993,1.117220042787233
33.557214,26.378839340000006,26.378839340000006,clear,33.818145,23.515664499999996,23.515664499999996,r15,-0.26093099999999936,waiting_ms,on,observed_amplification,3dssd+detr,12.175606774794767,3dssd,2.86317484000001,1.1217560677479477
33159.0,658.0,658.0,clear,34720.0,256.0,256.0,r15,-1561.0,input_point_count,on,observed_amplification,3dssd+detr,157.03125,3dssd,402.0,2.5703125
512.0,0.0,0.0,clear,512.0,0.0,0.0,r15,0.0,sampled_point_count,on,not_defined_zero_clear_width,3dssd+detr,,3dssd,0.0,
46.8261,23.737441760000003,23.737441760000003,clear,46.609221,22.2600605,22.2600605,r25,0.2168789999999987,inference_e2e_ms,on,observed_amplification,3dssd+detr,6.6369148457615434,3dssd,1.4773812600000014,1.0663691484576154
41.015297,18.3293982,18.3293982,clear,40.683631,17.588489000000003,17.588489000000003,r25,0.33166599999999846,gpu_kernel_active_ms,on,observed_amplification,3dssd+detr,4.212466460308195,3dssd,0.7409091999999973,1.042124664603082
481.0,5.0,5.0,clear,481.0,5.0,5.0,r25,0.0,kernel_count,on,observed_unchanged,3dssd+detr,0.0,3dssd,0.0,1.0
46.07392,23.663739800000016,23.663739800000016,clear,45.768884,22.054008499999995,22.054008499999995,r25,0.3050360000000012,kernel_span_ms,on,observed_amplification,3dssd+detr,7.299041804577255,3dssd,1.6097313000000213,1.0729904180457726
34.074747,25.8906504,25.8906504,clear,33.818145,23.515664499999996,23.515664499999996,r25,0.2566020000000009,waiting_ms,on,observed_amplification,3dssd+detr,10.099590849325146,3dssd,2.374985900000002,1.1009959084932515
33093.0,674.0,674.0,clear,34720.0,256.0,256.0,r25,-1627.0,input_point_count,on,observed_amplification,3dssd+detr,163.28125,3dssd,418.0,2.6328125
512.0,0.0,0.0,clear,512.0,0.0,0.0,r25,0.0,sampled_point_count,on,not_defined_zero_clear_width,3dssd+detr,,3dssd,0.0,
46.882768,24.234406759999985,24.234406759999985,clear,46.609221,22.2600605,22.2600605,r50,0.27354700000000065,inference_e2e_ms,on,observed_amplification,3dssd+detr,8.869455947794847,3dssd,1.974346259999983,1.0886945594779485
40.843551,18.810524720000004,18.810524720000004,clear,40.683631,17.588489000000003,17.588489000000003,r50,0.15991999999999962,gpu_kernel_active_ms,on,observed_amplification,3dssd+detr,6.947928955125149,3dssd,1.222035720000001,1.0694792895512515
481.0,5.0,5.0,clear,481.0,5.0,5.0,r50,0.0,kernel_count,on,observed_unchanged,3dssd+detr,0.0,3dssd,0.0,1.0
46.108128,24.091474239999997,24.091474239999997,clear,45.768884,22.054008499999995,22.054008499999995,r50,0.33924400000000077,kernel_span_ms,on,observed_amplification,3dssd+detr,9.23852795286626,3dssd,2.037465740000002,1.0923852795286626
34.179176,25.136040199999986,25.136040199999986,clear,33.818145,23.515664499999996,23.515664499999996,r50,0.361030999999997,waiting_ms,on,observed_amplification,3dssd+detr,6.890622631565391,3dssd,1.6203756999999896,1.068906226315654
32838.0,805.6800000000003,805.6800000000003,clear,34720.0,256.0,256.0,r50,-1882.0,input_point_count,on,observed_amplification,3dssd+detr,214.7187500000001,3dssd,549.6800000000003,3.147187500000001
512.0,0.0,0.0,clear,512.0,0.0,0.0,r50,0.0,sampled_point_count,on,not_defined_zero_clear_width,3dssd+detr,,3dssd,0.0,
46.432666,23.83792808000002,23.83792808000002,clear,46.609221,22.2600605,22.2600605,r7p5,-0.17655500000000046,inference_e2e_ms,on,observed_amplification,3dssd+detr,7.088334643115712,3dssd,1.5778675800000173,1.0708833464311571
40.497166,18.103288340000013,18.103288340000013,clear,40.683631,17.588489000000003,17.588489000000003,r7p5,-0.18646499999999833,gpu_kernel_active_ms,on,observed_amplification,3dssd+detr,2.926910549280337,3dssd,0.5147993400000104,1.0292691054928034
481.0,5.0,5.0,clear,481.0,5.0,5.0,r7p5,0.0,kernel_count,on,observed_unchanged,3dssd+detr,0.0,3dssd,0.0,1.0
45.518283499999995,23.76057220000002,23.76057220000002,clear,45.768884,22.054008499999995,22.054008499999995,r7p5,-0.25060050000000444,kernel_span_ms,on,observed_amplification,3dssd+detr,7.738111191895225,3dssd,1.706563700000025,1.0773811119189523
33.604819500000005,25.267398590000024,25.267398590000024,clear,33.818145,23.515664499999996,23.515664499999996,r7p5,-0.21332549999999628,waiting_ms,on,observed_amplification,3dssd+detr,7.449222155725299,3dssd,1.7517340900000278,1.074492221557253
33186.0,650.0,650.0,clear,34720.0,256.0,256.0,r7p5,-1534.0,input_point_count,on,observed_amplification,3dssd+detr,153.90625,3dssd,394.0,2.5390625
512.0,0.0,0.0,clear,512.0,0.0,0.0,r7p5,0.0,sampled_point_count,on,not_defined_zero_clear_width,3dssd+detr,,3dssd,0.0,
24.869058,10.476059279999998,10.476059279999998,clear,24.972385,9.913062320000002,9.913062320000002,r15,-0.10332700000000017,inference_e2e_ms,on,observed_amplification,3dssd+detr,5.679344503505512,detr,0.562996959999996,1.0567934450350551
