analysis_scope,condition_id,ecdf,latency_ms,mps_mode,pair_id,pass_index,segment_id,target_model
single-run exploratory descriptive,r25,0.2431561996779388,30.134353,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.24476650563607086,30.151429,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2463768115942029,30.170387,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.24798711755233493,30.173795,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.249597423510467,30.181469,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.25120772946859904,30.182943,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2528180354267311,30.1857,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.25442834138486314,30.190305,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2560386473429952,30.195461,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2576489533011272,30.197578,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.25925925925925924,30.213367,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2608695652173913,30.219842,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.26247987117552335,30.231485,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2640901771336554,30.238694,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.26570048309178745,30.252073,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2673107890499195,30.25636,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2689210950080515,30.256528,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.27053140096618356,30.268744,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2721417069243156,30.295765,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.27375201288244766,30.296399,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2753623188405797,30.297941,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.27697262479871176,30.313791,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2785829307568438,30.319561,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.28019323671497587,30.325884,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.28180354267310787,30.333205,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2834138486312399,30.334246,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.28502415458937197,30.377937,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.286634460547504,30.382394,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2882447665056361,30.386474,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2898550724637681,30.392383,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2914653784219002,30.40477,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.29307568438003223,30.411281,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2946859903381642,30.433821,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2962962962962963,30.434515,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.29790660225442833,30.435589,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.2995169082125604,30.447852,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.30112721417069244,30.448134,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3027375201288245,30.459051,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.30434782608695654,30.461839,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3059581320450886,30.484777,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3075684380032206,30.485872,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.30917874396135264,30.48669,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3107890499194847,30.510907,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.31239935587761675,30.511634,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3140096618357488,30.524712,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.31561996779388085,30.555659,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3172302737520129,30.565264,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3188405797101449,30.568252,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
